ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	116.3152161	0	0.491613716	15.1348114	14.04022121	2.510775805	3.462270498	0	0	0	119.397049	0	0	3.305232763	2.411142111	18.01663399	2.463606596	0.876631379	0.473932058	1.919001579	0	1.119310856	1.902327061	8.814415932	3.318619251	3.036093473	12.12377834	1.673939586	0	3.092532158	3.07342124	5.4638834	6.269558907	1.093324661	0	42.65792084	64.55515289
pas2	113.1075058	8.300920486	7.236366272	115.6669388	27.78698158	3.976231575	0.946010053	0	1.46096158	0	44.92378235	0	0	9.40602684	1.514106035	0	13.59730148	0.119322859	2.483849525	0	2.782902718	0.858258069	4.586933613	1.202901125	0	3.784545183	6.034955502	0.950554252	10.15980339	0	3.825837374	30.76027107	2.912796021	0.542398214	0	19.2665062	215.2854156
pas3	70.44226456	0.418787777	12.44759703	82.34658432	14.22335434	0.051683497	9.335680008	0	0	0	44.07643127	0	0	1.202029377	10.64279604	1.390055835	0.451199621	1.548679233	1.50835678	0	0	1.520566463	0	7.00747633	0	0.956763566	49.03629875	9.18560648	2.22487241	0.393012226	0.275829792	1.141176492	7.256906986	1.507375628	0.422950447	20.66746902	63.77589798
pas4	90.94393158	0.064031437	8.023122787	151.3342896	21.29430199	2.113643408	6.945506573	0	0	0	28.14121628	0.58060199	0	2.31122303	9.347144127	0	1.048375607	0	4.278684616	0.31286332	0	0	2.054177999	4.599676132	1.137658	0.929991961	17.01955223	9.935238838	2.797156334	0	0.833115101	5.527114868	0	0.134267703	0	32.65906525	64.38258362
pas5	118.4139137	0.642179489	0.882574797	4.044792116	99.31756115	0.831247747	0.418890089	0	0	17.21279061	111.8778	5.236111999	0	5.739383459	9.412272096	40.62099804	5.327294827	3.59902966	0	19.97845602	0.483054787	32.48709393	4.772074342	67.20783997	17.2137084	0	8.381587029	4.139761448	5.807021618	22.6040802	6.683498383	5.181466579	9.499543667	45.53262997	5.553743839	59.71901989	46.92708015
pas6	154.0195618	1.252330184	2.935237408	100.9733772	12.20956182	4.060512781	1.031149209	0	0	0	85.7524147	0	0	1.022425473	4.487840891	0.13620697	10.44236469	0.417625025	3.78209722	0	0	1.121686757	6.211741924	1.153616905	0.176812708	1.137492031	3.721905947	0.457596637	6.361788988	0	0	11.8253727	2.244882703	0.012401108	0	37.41051674	77.32813263
pas7	171.5594788	0	5.988921642	214.0800018	11.52821255	0.509477377	16.22065163	0	0	0.824218333	37.12791061	0	0	2.685462713	6.366751671	0	4.437391758	0	10.17051506	0	0.83583349	0	0	5.335738659	0	0.30166772	16.53515625	0.536102295	2.029906511	5.092899323	1.511837959	0	0	2.387229919	0	4.054730415	115.8428955
pas8	88.48252106	0	10.34200764	7.589183807	4.508141041	0	0	0	0	0	1.438014507	0	0	0	2.098504066	33.89295197	1.192578912	0.631057739	0.745081842	0	0	1.181584716	0	0	0	0	0	0	3.42773366	2.206763983	0.967825532	0	0.919472337	1.724858761	0	5.128143311	64.12552643
pas9	93.84692764	3.09660399	4.565328598	20.38442612	8.937029362	0	3.970048547	0	0	0	30.60710716	0	0	0.089321889	0	0	2.554497242	2.013105094	1.764408588	0	0	0	0	0.479782894	0	1.153481722	23.07714939	1.851052284	0.04947925	0	0	0	0	0	0	19.74237442	105.2676086
pas10	141.2906113	0	0.811027348	5.488220215	0.350615218	0	5.858363867	0	1.819139957	0	8.87887001	1.835481882	0	1.742153525	3.937945366	2.16802001	11.43026996	0.272665113	1.069883555	6.18782568	0	2.528893471	0	0	2.051630616	0	0.135333955	2.415848672	0.388936222	1.128851295	0	9.582980156	2.043898851	1.580813002	0.832602307	9.796389818	225.2756119
pas11	121.8945389	0	0	3.868327856	0	0.173611343	0	0.177359015	0	0	2.900391102	0	0	0.190793451	0.369699702	10.14448023	0.309754051	0	0	1.009684861	0	1.243914068	0	0	0	0	0	0.148451198	7.895573616	0.058208186	0	2.111645937	0	0.651621789	0.529613942	1.393527448	94.15926361
pas12	49.87409401	0	14.42608261	70.4417305	9.441117764	6.316462517	13.13815403	0.721211225	1.693461776	0	8.943772316	11.42920876	0	10.93855572	1.588171124	0	9.252637863	2.526169896	3.554290771	0	9.720329285	30.4394331	5.259465218	5.058194876	0	3.394590259	18.25155449	2.669525981	10.22487926	3.834217906	2.564687729	220.3115082	11.3897624	6.076618195	15.43652439	146.4353027	89.96796417
pas13	97.99404144	0.810155511	8.251654148	283.0701141	12.23215914	3.011599541	14.87985945	0	0.0016845	0	26.01644135	0.445802003	0	1.942575514	2.529836535	0	12.88990545	0.630077481	8.21890974	0	0	0.684921503	2.59721148	0	0	0.741481513	8.015732765	2.648978949	2.206848979	0	0	25.52580452	1.548116982	1.263507009	0	46.63859177	190.0448303
pas14	104.4123917	0.618761361	9.515566826	325.4368896	24.45852852	3.034271479	20.17591095	0	0	0	46.103405	1.083596945	0	3.188883066	0	0	22.77992439	0	13.17001247	1.37477529	1.544872284	4.939568996	0	1.935522676	0	3.821386337	46.91893768	7.79282999	0	0	0	6.143815041	0	0	0	34.31372452	159.9254761
pas15	93.34748077	0	21.57123661	139.2110367	1.847089171	0	0	0	0	0	36.74265862	0	0	0	0	0	0	0	5.899352789	0	0	0	0	0.160616592	0.199734747	0	3.329523325	0	0.120818777	0	0	2.748925328	0	0	0	6.762558937	87.31852341
pas16	142.8170624	0	5.298510551	7.204435349	0	0	0	0	0	0	5.065098763	0	0	0	0	2.090555429	2.11965704	0	4.168067932	0	1.247328043	0.899868488	0	0	1.124335885	0	0	1.852681994	2.991816759	3.008136749	0.591408193	8.743875504	0.242895499	0.513137162	0	10.18671894	135.2530212
pas17	149.8145294	0	12.53116417	419.3795471	15.94259739	4.245668888	13.77066946	0	0.546825886	0	59.91284752	0	0	2.587693095	4.570650101	0.267191738	4.775459528	0.421545282	12.84224892	1.291216791	0.239710525	0	0	2.6931988	0.047004737	2.733725786	27.22596931	2.928257346	0.786790669	0.255566202	0.725561827	8.021630287	1.220807612	0.583926439	0	49.54174232	142.10392
pas18	135.4351807	0	13.86990786	348.2928925	15.74952793	2.985491276	24.60870647	0	0	0.072607007	54.54187584	0	0	3.641031027	8.109670639	1.47336781	9.162028313	0.12906912	12.28163719	1.470902264	0	2.663991451	0.803003073	4.633346081	1.645152569	2.105912805	31.00384808	7.186790705	0	2.932358146	1.261505872	28.22134972	5.661455631	4.400357246	0	68.58766174	249.7092667
pas19	72.59101105	0	5.744914055	26.28760529	7.808738232	0	3.357215166	0	0	3.589207649	56.63742828	0	0	0.095965914	1.718489408	0	0	0	7.389001846	10.77741432	0	7.90444994	0	4.140996456	0	0	0.183735892	0.250332981	5.272983074	16.32357216	0	6.499760628	3.40362072	6.685348034	0	10.02813053	56.7129631
pas20	126.9198151	0	12.67583752	226.2168579	18.13451004	2.324795723	13.74825478	0	0	0	27.18914604	0.804831564	0	2.868701935	6.332696438	1.290285945	8.507536888	0.380445182	7.046792984	0.467095613	0	1.030601859	0.265524715	1.884657502	0.327356875	2.069516182	92.26576996	4.242584229	2.267089367	0.720091999	0.50975877	11.30722141	4.061613083	2.414136171	0	92.50603485	136.231781
pas21	136.7444305	0	11.77697468	557.0975647	18.73060226	3.980206132	19.75801659	0	0.32252948	0.728293508	37.0912323	0	0	3.821587682	10.43024588	1.956622481	11.74473906	1.557969153	16.41179848	2.327027917	0	2.873219252	0.770958751	6.64888978	0.671370685	2.126766086	28.1926918	4.967995882	0	1.972895861	0.054635646	12.85468483	3.365077615	4.160334587	0	76.0533905	182.7281036
pas22	173.3516388	0.251118168	12.10068274	520.455658	15.44009638	2.995940208	17.2395649	0.137089301	0.811274916	0	52.21375084	0	0	0.557392687	1.27176249	0.065271504	6.722495794	0.908457071	17.18561745	1.573250711	0.18681927	0.259604529	0	1.743356764	0.017020524	3.485290766	53.28892708	5.756093502	0.021383464	0	0	1.843235493	1.868127763	1.033629209	0	43.16053772	159.974411
