ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	188.4719009	0	3.276777148	215.2489777	22.79487038	2.788055301	0.486324951	0	0	1.181454182	84.92192078	0	0	2.946481824	0	3.127839446	6.861289263	0.472111255	7.146103382	0.622650206	0	0.006069345	3.54227531	1.727137923	207.5680313	6.503051519	3.238950849	0	0	1.004748821	24.69845009	12.96498442	104.148922	5.137748957	0	61.45009995	0.335230157
pas2	180.8272247	0.505303204	3.392808437	230.6703415	28.36515522	3.204119563	0.816572338	0	0	0.59649533	91.78470993	0.058481492	0	2.727145433	0	3.610370159	16.07722473	0	7.702353954	0.325235039	0	0	5.223933935	1.053279519	191.6915588	6.657021999	3.55599618	0	1.339783907	0.335889578	25.3293047	37.33889008	102.6568604	5.47414875	0	61.87875557	2.220260978
pas3	172.2967529	1.068139911	3.455908775	231.3561096	21.62413025	1.320338488	0.494627565	0	0.811238766	1.066066146	55.87166214	0	0	2.464507341	0	0.979845762	2.670175314	0	7.170621395	0.590942323	0	0	0.76937145	3.161338806	124.8846054	7.175071239	7.388784885	0	0.015958974	0.732942224	44.70555878	27.53110313	241.1347198	10.84497833	0.077960104	23.97709656	0
pas4	138.5760193	0	2.58853054	199.6851654	17.21323204	2.323130131	0.193657935	0	0	0.859699965	71.58328247	0	0	3.261990547	0	14.76262093	3.763448954	0	6.236872673	1.067874074	0	0	3.664934397	4.662043571	153.9214935	7.127783775	4.857355595	0	0.761824191	1.672188878	31.64914322	19.91857719	87.93791199	5.774599075	0	58.82332611	0.052719545
pas5	122.3712616	0	1.907519341	115.9822769	17.04844856	1.725726008	0	0	0	0.655036807	40.94125748	0	0	3.7448349	0	12.43224525	3.788934469	0.140964821	3.196474075	1.672341943	0	1.031743646	5.541176796	5.607234955	162.6094818	7.770076275	4.235173225	0.875335693	0.539813399	5.63868475	39.34711075	30.48934364	84.83643341	5.914132118	0	32.11576462	0.293788552
pas6	195.1093216	0.122097045	1.503152311	82.40013885	12.41274118	2.285328627	0	0	0	0	97.48350143	0.001786429	0	3.165430546	0	2.182338238	10.8553009	0	2.40085876	0	0	0.324548915	6.214796305	2.124607563	200.2522507	6.26126647	4.183724642	0	1.778323293	0.041846925	38.11793137	33.45793343	229.6704178	9.895512104	0	49.12134171	1.50737673
pas7	176.3325195	0	3.113764763	196.1181335	14.70541191	2.277819633	0.117670156	0	0	5.047558308	73.70480347	0	0	2.58107996	0	11.16495991	4.90100193	0	6.481907845	0.616274595	0	0	3.524427176	3.276045084	169.8187256	12.27744198	2.540466547	0	0.58314538	1.418838739	25.07460785	27.1966362	48.29806137	4.462965965	0.189494014	23.51608849	0.156109303
pas8	137.6073761	0	0.798736095	161.0359879	14.1596055	0	0	0	0	0	90.59913635	0	0	0	0	0	3.938349843	0	4.70889473	0	0	0	0	0	164.3243179	4.004145145	1.165359795	0	0	0	16.86629009	11.73880816	150.1159973	6.100572348	0	10.96759558	0
pas9	214.4590149	4.281618118	3.416497111	314.2012482	16.03332329	0.967995793	0	0	0	0	116.8469315	0	0	1.263542235	0	2.304804802	8.650130272	0.338074282	11.54870653	0	0.178023361	0	0	0.944182307	129.8942108	10.81081963	15.7655921	0	0	0	43.28655624	17.80224037	168.7317047	8.649895191	0	49.16141129	0
pas10	138.942543	0	2.48887074	245.5428314	7.119217873	1.219712138	0	0	0	0	71.34217072	0.241404116	0	1.613869071	0	0	7.511782885	0	9.717665195	0	0	0.544667035	0.698292941	0.531681091	98.67917633	4.603900671	5.922462702	0	0.812384069	0.137883179	29.12085915	25.74285984	133.1668854	7.171882868	0	35.2061615	0
pas11	153.1490936	0	5.412818909	456.2176666	16.00150776	3.661609888	0.93355751	0	0.299068198	1.514378071	74.48485184	1.117723167	0	4.295308352	0	5.069412708	8.145454407	0.44256784	14.81603765	0.672008663	0	1.579475582	3.701592565	2.066120863	149.2960281	8.012793541	3.678946376	0.039996445	2.225342631	0.825806439	23.75711727	17.692873	121.8875198	6.277391195	0	46.81330299	0
pas12	80.93912125	0	7.802629471	106.9566345	8.923838139	5.740049124	0	0	1.83697623	0	24.25165176	12.75845051	0	11.81390715	0	0	7.277192116	3.15278399	4.43847394	0	10.42645502	34.33731651	9.58727026	3.267977118	30.78957748	5.246549845	3.865463972	0.339342788	12.42201805	2.39943099	16.4777956	270.7014313	118.1583328	13.26464891	17.41359615	141.1854324	4.725788355
pas13	137.1056366	1.563213944	4.589605808	230.6614838	17.28348541	2.752583027	0.999859989	0	0.38618499	0	63.83121109	0.799314022	0	2.515197992	0	2.04212904	10.51201153	0.668525994	7.182779789	0.262735009	0	0.190497994	5.148927212	0.362886012	79.21190643	6.540977001	8.110464096	0.427536994	1.93808198	0.385632008	16.82418633	52.25617218	82.44933319	5.00464201	0	40.34350967	2.406444073
pas14	220.5924835	0	4.734590054	332.2352295	30.74121857	3.246197462	0.706337512	0	0	2.03649807	125.3952484	0.318691492	0	3.602039576	0	14.592206	11.19103718	0.415205985	10.52407742	0.803512692	0	1.389179707	1.279851437	0.932222009	183.6100616	14.39645004	2.587035656	0	0	0.441195518	31.59339905	28.98069954	76.89926147	5.020722866	0.231702313	63.02649689	1.029641747
pas15	190.8597107	0	3.949996471	360.0438232	15.2101202	1.054826021	0	0	0	0	151.6631927	0	0	0.06417691	0	6.074442863	9.778074265	0	12.3842144	0.024409922	0	0	0	2.772097349	104.9937363	11.3365097	4.702774525	0	0	0	34.54165649	9.206264496	93.37888336	5.403160095	0	32.57381821	0
pas16	193.6942291	0	4.427603722	330.4067383	13.27408028	2.653836489	0.837761462	0	0.277789861	1.166806817	111.035408	1.312067509	0	2.535334349	0	0	11.6227417	0	14.70611191	0.309572995	0	2.328660727	1.495340705	1.016969442	109.1788483	8.92506218	6.643671036	0.144428641	2.181442976	1.31901741	22.28764915	37.16984558	210.016983	9.831453323	0.182711914	41.9067421	0.738870263
pas17	220.6181183	0	3.96243012	302.8262024	13.62313032	2.754769564	1.487952769	0	0.204542719	1.260104477	167.12146	0	0	2.342213511	0	19.29117107	11.97763205	0	12.10155344	0.932060122	0	0	0.982595593	3.431765914	112.0425606	12.81989145	5.016783714	0	0	0.61972025	30.19165897	21.74116611	136.9955139	7.528918743	0	58.90430069	0.304134518
pas18	206.4308777	0	4.434078217	346.7757416	16.01652813	3.130078793	0.826868534	0	0	1.277715087	117.9045372	0	0	4.363170147	0	22.60655975	10.68372536	0.609612077	11.84096479	1.115986228	0	0.626637489	4.578453302	4.247822762	197.0574188	11.99257326	7.39360714	0.243154824	0	1.64776957	33.89789772	40.78780365	157.4202042	9.113585949	0	62.77506638	0
pas19	135.9858704	0	3.485859632	286.0684814	14.79030895	2.157485485	8.13E-05	0	0	4.859061241	87.48970795	0.299137384	0	2.577760696	0	0	11.13447952	0	10.83122349	0	0	12.00550652	2.296396971	2.377858639	101.0298004	12.84680271	2.732559443	0	0.60757637	0.734972	16.57536697	32.39916611	152.368988	9.330263138	0.413777083	31.03064728	0
