ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	286.2574158	0	1.331372023	2.14722681	19.99153519	3.199597359	0.613126576	6.727171421	0	2.06241107	164.5216217	0.962705731	0	3.560055971	3.847289562	43.59892273	16.72066879	0.364605188	1.092952013	28.05047035	0.022562511	1.460408688	5.103094578	148.3522797	2.037198067	5.238691807	2.903883219	152.3787842	0.07588961	158.1975861	2.660897493	5.100923061	2.896649122	42.50260925	3.694981813	38.91680527	0.613017976
pas2	196.4932709	2.750911236	2.11887145	1.368191123	47.86333275	9.595038652	0.203977078	0.723212302	0	2.932710886	173.3573952	9.519195795	0	3.952216625	1.745362878	15.00203133	49.50027847	7.667159319	0.59562254	35.23845339	4.247815609	6.270249844	21.28893709	83.14530373	0.109181486	8.014903784	0	94.94408607	10.61333036	107.715126	87.73486507	8552.769901	402.2740479	56.64352608	5.269032478	37.07622242	3.95906806
pas3	248.5899506	0.421832114	1.003989816	4.061882734	17.26748466	0.364189908	0.076782594	5.444680452	0.442167804	0.228141645	99.85475159	0.735473245	0	1.824629009	8.290875673	61.27630424	3.645316601	0	2.216035962	40.16929054	0	1.728278995	4.708324671	208.9141617	3.897644758	4.43149662	4.266448975	71.08052063	0.546567023	174.4698944	4.189793587	5.531015158	6.208889723	138.6585846	16.07010746	8.312704086	0
pas4	200.2688293	0	1.517697692	10.44219589	20.61779404	2.311258078	0	4.860548973	0	5.56673193	127.4637146	0	0	2.499334335	0.974222541	48.86181259	6.625089169	0.054216232	1.744075894	37.47655106	0	1.193149805	3.927643538	101.1740723	0.675995052	3.902991533	1.586595416	148.4138794	1.917876959	100.5970764	1.698537111	5.713527203	3.059581041	62.1497345	1.582180381	23.25850487	0.238556415
pas5	255.8245392	0	1.457027197	24.32165813	23.84680748	1.993058443	0	10.68078709	0	2.081085086	63.65415001	0	0	4.56849122	1.833678603	61.35569954	8.794683456	0.446102202	1.740622818	37.72914124	0.270738736	2.725436449	3.852641582	71.78894043	3.786237121	2.196291327	4.102100611	153.1789322	2.049177527	199.1434326	4.066604137	7.171133995	4.31413579	40.88133812	3.032150388	38.47828293	0.395306543
pas6	308.3123322	1.571897268	2.503723741	1.377411544	13.02738762	2.736556053	0.396917656	7.782207251	0	0.005892795	157.6582336	0	0	3.422993064	1.528986692	20.42774677	22.43453979	0	0.448408	33.24673462	0	2.124235749	9.615064144	95.07688141	0	3.248851061	0.884708256	155.780014	4.646500111	186.6525879	1.491566598	6.847609043	3.455046654	43.62477112	2.570426464	28.85400772	2.785570502
pas7	256.89151	0.130738169	3.591902018	10.32300472	12.59544563	1.21380949	0.096898541	4.791845322	0	3.295451403	127.9751282	0	0	0.97961545	3.23322773	75.75913239	5.576454639	0	3.007743835	40.6403389	0	1.115126014	4.522462368	90.3143692	2.400473595	5.014411449	2.892197609	104.1534042	0.948844671	114.8601608	2.630712986	6.428367615	3.135394573	95.03404999	5.187578201	15.36854744	0.729331017
pas8	224.857132	0	0	0	10.8302784	0.569166422	0	9.386856079	1.159729719	0.291209698	238.5232391	1.857223153	0	0	0	0	1.634996295	0	5.39975071	33.39578247	0.344001114	10.19194317	1.447716832	194.3105316	5.514037132	15.86458588	2.124550104	161.5889282	3.366073132	282.1209412	0.836247921	11.68344688	4.385217667	49.64380264	4.128421307	19.37951851	0
pas9	500.7356873	17.88451099	3.833223939	1.568506896	71.08311462	2.817332745	0.590931118	12.27517414	0	0.710382849	348.1797485	0	0	0.158509761	11.70520067	39.05398178	26.5401125	1.521247745	6.774443388	41.54490471	1.199390888	4.733457088	5.786720753	250.0968552	0	13.50867653	35.00532341	78.08106232	0.416345015	226.6885757	1.678703189	10.92760754	25.66094398	164.3258667	50.11949158	25.22606087	2.010711908
pas10	161.2116394	0	1.615911365	9.036675453	2.414187431	1.797058821	0.126853988	1.52531445	0.305317432	9.648784637	176.3153381	1.375655413	0	3.680967569	0	0	15.37401772	0.511353433	0.615696132	27.56997108	0	3.127924681	0.018934112	37.30301666	1.071053028	4.856050014	0.961817205	105.5033417	3.171888828	124.8051453	0.050194412	7.97079277	5.745414257	128.1101074	2.949004889	39.01597595	0.122225977
pas11	149.9671478	0	0.611934781	4.300542355	4.557549477	1.279624462	0	3.663841248	0	4.963216782	91.00331116	0.170255989	0	2.243368864	1.218859076	80.92316437	14.49275303	0	2.137764692	28.54085541	0.944725573	0.68436414	0.621911347	74.4641037	0.692372382	2.492988586	1.391090989	106.7529144	2.416027546	98.09307098	2.105759382	2.621901512	1.408742547	74.07686615	1.415950179	37.15167999	1.29554832
pas12	225.5857849	2.011683941	17.22218132	41.31164932	38.36471558	10.17809772	0.660037935	26.90581131	3.707125187	2.491117001	66.40821075	18.41088867	0	18.25145149	3.029436827	7.648291111	31.92468071	6.402346611	5.931771755	20.24361038	16.62187576	50.07699203	13.7385416	89.41441345	1.281554341	8.437988281	19.43819046	87.47779083	18.52756882	202.2414551	7.120090008	288.8355408	32.07789612	88.36603546	60.75789261	233.9293518	6.873566628
pas13	203.4218292	2.291397095	2.742508888	0.647731006	43.17247772	3.29279089	1.385673046	2.913120031	0	0	135.3100891	0	0	2.937642097	1.934983969	22.73161888	49.46788406	2.043154001	1.782855034	14.73268414	0.936942995	3.108870983	6.380623817	63.69417953	0	1.640373945	2.174309969	115.1041412	1.102906942	90.78662872	0.533051014	6.749076843	4.278634071	83.38851166	6.302771091	42.91186142	1.64151895
pas14	403.5992432	1.261270523	3.976997137	4.252398014	19.60079575	1.10386014	0.773637235	11.96899414	2.144776344	0.839757085	297.5054321	1.130368829	0	5.19376564	0.070404798	4.41197443	15.59588909	0.573647201	2.974632978	23.62619209	1.000971913	3.246177912	4.763283253	163.1075439	0	8.794147491	2.159023285	148.8352814	0	202.0649719	1.483641148	6.78891325	8.767159462	115.8369675	2.751382828	26.99325562	3.609527588
pas15	296.3687134	0	1.920039833	24.85340405	15.63925314	0.662018389	0	8.936199665	0	3.598974466	252.8451691	0	0	0	0.126731798	81.39440918	18.67392921	0.387417361	3.24467063	42.28805923	0	0	0.690438569	87.47218323	0	8.100595951	5.090352058	88.97193146	0	174.9356766	1.471941411	1.56739229	2.25307107	146.4680557	1.945605755	31.06425667	0
pas16	163.1779175	0	8.002623558	379.3649902	11.10594368	2.82558465	3.371186733	10.79023266	3.827012062	3.316670418	148.097168	2.145122051	0	3.528800249	0.736613035	0.731234789	17.92593765	0.946381211	12.82518482	16.7261467	2.549549103	0.900589824	0	6.295246124	2.080110073	6.564424515	5.147152901	127.4803543	13.44678593	135.8713989	1.933981776	22.70886803	7.897424221	153.0370483	2.544159174	27.77262688	1.170659304
