ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	233.983551	0	1.0799582	6.056288719	11.69714832	1.804696798	0	8.91014576	0	0.930719912	92.77587128	0	0	3.191302538	0	53.5568428	17.88344955	1.09241879	1.054510236	25.35876465	0	1.263845801	2.777642488	86.27360535	2.130594969	3.052767992	2.988222837	0.869417191	0	220.8634949	1.838718772	2.768135071	1.624689102	70.31136322	2.462039709	24.49172401	0.251647443
pas2	218.7012177	2.54643631	1.443823099	5.950446606	9.456175804	2.174623489	0	7.757537365	0	0	81.84959412	0.514192998	0	2.269689322	0	39.28284454	30.62888718	0.608334184	1.227170587	19.82218742	0	0.611973763	4.067555904	43.2697258	0	2.917457104	3.588836908	0.583688557	1.279819608	212.0384827	0.973556459	6.487874031	0.774313927	65.55796814	1.278178096	22.59401131	1.542465329
pas3	225.4173431	0.550028592	1.014307618	4.104642391	13.8389349	0.260336146	0	5.777178526	0.359920487	3.106376648	66.1366272	0	0	1.512598693	7.155551195	71.42705154	3.400666118	0	1.805007577	40.54368591	0.095755529	1.954131782	3.991821408	172.2340317	2.972580314	2.952881694	3.024788022	0.895155996	0.113218851	178.5184097	2.67203021	4.740937471	4.386644602	186.5702515	8.129243374	11.54214716	0
pas4	170.7290192	0	0.816515505	9.279294014	15.26026344	1.330261707	0	6.869298458	0	3.428468466	84.42902374	0	0	2.040708303	0	52.41676331	4.842613697	0	1.308632493	28.96710587	0	0.87714541	3.457127571	83.71947479	0.60238868	2.306903601	1.962183714	0.13158083	0.79338479	131.5620728	1.112323165	4.044300556	2.033817053	86.07155609	1.260066152	21.22513199	0
pas5	150.753067	0	0.44741039	12.19310522	11.99197388	0.70567739	0	9.525267601	0	0.734658211	33.67764854	0	0	2.704550147	0	36.96100044	5.262171984	0.187854707	0.658143014	23.42812824	0	1.430908978	2.526236057	22.19306183	2.289593816	0.954050034	3.781165719	1.34930712	0.288587287	156.2821732	2.732221484	5.643362761	2.847107649	45.71918297	1.15352577	21.37038612	0.195636854
pas6	302.1582184	0.125479251	0.591804475	1.99682492	13.46069145	1.876336515	0	9.129753113	0	0	116.7190285	0.124548841	0	3.869087696	0	23.11802483	18.05909252	0	0.020663586	27.16814804	0	1.520829976	7.694295645	97.50878525	0.352792874	3.431729436	1.786148071	0.622791231	2.138371229	237.6776581	1.078826964	8.902910233	2.178937435	57.37387657	1.35990113	30.4930439	1.499970794
pas7	234.5010223	0.026966073	1.059785247	6.623414516	10.334589	1.013882339	0	7.111811399	0	3.562479734	93.60361862	0	0	0.831576437	0	63.17483902	4.171321154	0	1.811392069	28.12781715	0	0.56099394	3.370923281	73.25758743	0.869900823	2.832701445	3.655109286	0.283424646	0.62455219	161.0836105	1.503536522	5.682351351	2.52354753	163.3867569	2.842525959	10.87687159	0
pas8	185.1370926	0	0	4.902556658	6.852981329	0	0	4.677223921	0	0	100.6230736	0	0	0.744728059	0	0	6.483285189	0	0	17.66477871	0	0	0.053907285	25.70169544	0.152054816	2.183679223	1.01120311	0	0	148.1359406	0	1.810667396	0.267280713	58.38989449	0.42114538	6.251012325	0
pas9	300.3756104	7.339902401	0.119748712	0	23.6277504	0	0	9.134244919	0	3.015115499	180.2531891	0	0	0	6.347521305	26.19557762	14.3011322	0.56738764	2.018248558	36.65983582	0	4.556663036	3.618122816	164.7228394	0	5.551978588	6.78218317	0	0	165.291687	0.211388856	3.533685207	9.849900246	240.1724396	17.09811974	28.06650734	0
pas10	181.6031647	0	0.699954927	7.75465107	7.631930351	0.893864155	0	5.280214787	0	2.530052185	122.8204498	0.321720153	0	2.238733768	0	0	12.22675228	0	3.019310951	25.29816628	0	1.613368392	1.59965539	54.17790222	0.177313656	3.715601921	3.87541461	0.162602976	1.250339627	140.3135376	0.940692902	8.156814575	4.922420502	226.5265961	4.821237564	28.5729847	0
pas11	179.0502243	0	1.277558744	11.08125973	7.899390936	2.25744772	0	9.962829113	0.190836594	2.160090804	74.81934357	1.434576929	0	3.780308604	0.376699731	94.43067932	11.82705832	0.510611147	3.699061275	23.68768978	0.217275672	1.930864692	1.98032397	45.49370003	0.093977313	1.996577322	3.665469646	0.71795696	2.272420049	181.0352097	1.630101502	3.761092901	1.741415918	193.342865	2.186771035	35.78984642	0
pas12	104.3380623	0	6.613291264	30.93884659	6.110650539	5.341743708	0	17.27988815	2.506162882	1.621072412	27.17777348	12.93200064	0	10.5572381	0	3.68812716	15.89408445	3.296030879	2.395956755	12.37619591	10.61362457	37.46482849	7.444359541	9.500684738	0	3.797695756	4.191462278	1.096310496	12.54566288	128.4315414	4.209355354	205.8478622	16.52936077	84.19820404	22.11374569	155.8462982	4.48895812
pas13	168.7204666	2.630449533	1.245579004	0.481753007	16.72214985	1.579246521	0.4606435	3.976016998	0.222851001	0.589036494	92.80566788	0.288729012	0	2.092858911	1.225944996	14.79312468	19.6692934	0.539314479	1.299796462	14.2515893	0.058585001	1.515168011	5.229850292	83.3141861	0	2.759296536	1.392242491	0.322062001	1.265387952	91.80294418	0.525050491	6.741010666	2.690728426	133.8828583	5.266588449	21.97220612	1.832023501
pas14	332.2930603	0.683400691	1.490732551	0.684782147	27.33341217	2.170297384	0.043814972	8.120328903	0.655803382	3.284639835	185.975647	0.509312391	0	4.106620789	2.546525002	36.92388916	22.8332653	1.145053029	2.28025794	32.68416595	0.871137321	5.944755554	5.238825321	189.6069641	0.473790944	6.397183895	2.308488846	0.939082682	0	175.644104	1.39087975	7.946064472	6.46571207	194.0546417	9.121249199	32.47518539	1.367712021
pas15	227.694458	0	0.478828847	37.10353088	11.24594021	0	0	10.52814198	0	0.760936916	149.1593475	0	0	0	0	80.42440796	10.87646103	0	2.214269161	30.62627983	0	0	0	25.10379601	0	3.724632025	4.235201836	0	0	198.7445068	0.989897847	0.876830161	0.984735548	218.9719696	2.05300498	21.93313789	0
pas16	197.31604	0	1.9639377	91.32003784	7.798291445	1.202368498	0.319878563	7.387285471	0.304246008	1.181661725	115.801487	1.106243014	0	2.394563556	0	0	10.03487921	0.092129499	6.44129324	20.57594204	0	2.573093057	0.557106733	4.396435738	0	3.753997922	6.727605343	0.973288327	2.405936718	171.8982468	0.782806009	11.1346879	3.183698535	227.1573715	2.617958546	20.46186161	0.11815339
pas17	271.4080505	0	1.19303453	7.851623535	10.42916775	1.484720349	0.758768082	11.37353802	0.185154438	2.581341028	163.4230652	0	0	1.367410898	0.137878582	72.66627502	11.70541477	0.094374895	2.111274242	26.40384102	0	0.569609165	1.458037615	62.97090912	0	5.520824909	3.530329466	0.565466464	0.066039987	169.6615143	1.57062602	2.881157875	2.679909945	190.1440887	2.019119978	32.81237793	0
pas18	281.5032043	1.313133419	1.563214839	9.20909977	12.91193295	2.158165693	0	13.36510468	0.010318228	6.16482687	110.2899094	0.438160136	0	3.613707542	0	111.4468727	12.65348148	1.010691226	2.350593328	37.82681465	0.030447152	2.447545052	2.909425139	91.85885239	1.137436271	4.015575886	4.887509823	1.148575485	0	240.0121384	3.047434688	11.18454266	5.640746117	230.7637939	2.953078866	51.74858284	0
pas19	165.5832748	0	0.455686092	4.777634859	8.048750877	0.923335463	0	7.210699797	0	1.801937103	97.79270172	0.261394188	0	3.808744788	1.738277853	0	13.41707325	0	1.598982334	23.40746498	0	15.74351692	3.314710259	85.40236664	0.889277458	2.741059065	1.932587624	0.133336022	1.181860983	130.4826508	1.044902027	5.293015242	5.457211018	186.5494461	4.802705765	24.66675854	0
pas20	233.4511261	0	0.995568991	8.329946518	10.88346958	1.757591605	0	13.51414204	0.151256755	2.752084494	68.70109558	0	0	3.649278402	1.323373437	119.0916443	14.58251858	0.424810439	2.331392765	25.7185421	0.024953777	2.183612585	2.336082935	67.45730591	0.081113845	2.375018597	6.247832298	0.951242447	1.923876047	213.2350464	2.633616447	5.494764328	2.193916082	165.1851501	3.507029295	61.01399994	2.355386019
pas21	325.3578491	0	1.621326327	9.581110001	19.24637413	2.53101325	0.25211665	12.87015724	0.234456271	6.392831326	143.3864594	0	0	3.430902481	0.695900142	122.806572	19.7889595	1.288094163	2.224208832	49.13946533	0.43610394	2.601566792	4.553258419	187.4625549	0.87562269	4.656692982	5.04131937	1.566164017	0	250.4964752	2.890784502	3.68973732	3.861204147	259.5845032	4.224895	68.11019135	0.081896104
pas22	286.2842712	0.337076649	1.934996188	54.22782516	10.68410158	1.440654695	1.008982956	15.135427	1.060372412	0.891259849	140.911377	0	0	0.91837427	0	92.1482048	13.7708025	0.338406831	3.697554708	27.46439075	0	0.761555523	0.867982715	13.64851475	0	4.968351364	7.263874531	0.868342251	0	240.5356903	2.201841235	3.890236616	1.877364278	240.5679016	1.920064151	47.50064087	0.083303224
pas23	259.3337402	0	1.928978562	16.40737534	12.98760891	2.195756912	0	11.06512642	0	2.533963919	112.16922	0	0	3.45277667	0.04853785	119.5744019	16.19434357	0.744955182	2.271693707	32.69469833	0.137927353	7.04987812	2.855731726	53.98960114	0.324760765	3.5810287	4.519394398	0.938269913	0	224.2000732	2.923858881	22.91978836	3.816059351	209.2811737	2.99446702	60.81142807	0.257006913
pas24	172.3452606	1.3845644	1.165785611	16.9790659	10.03526115	1.290712118	0	5.132707596	0	1.745373785	86.58385468	0.079608914	0	1.534989536	0.061381007	94.01206207	7.035220623	0	4.02170825	19.80308437	0	0.736348778	3.959365606	32.00282192	0.728973716	2.520894289	3.884033203	0.525925845	2.01805222	144.8831787	1.765056252	8.987434387	2.39637804	167.0150223	3.322710276	19.44069862	0.296657175
pas25	262.9068604	0	0.378797367	7.23444128	12.49437904	1.693770349	0	11.39078236	0	3.678306818	70.71275711	0	0	2.57168889	0	73.97294235	15.7569499	0.09784035	1.831197381	31.77237797	0	1.298945129	2.186921835	83.9023056	0.054662971	2.290274978	3.672787905	1.31738317	1.891076803	216.6381683	2.226327777	4.666962147	4.905218363	168.4029312	2.537079453	53.36400032	2.308016896
pas26	277.02948	0	0.996048093	28.47749138	7.523141861	0.915385723	0.11312063	13.3196249	0	0.374812365	156.0048676	0	0	0.434135705	0	118.3108902	14.64878559	0	2.305413246	25.44329834	0	0	0.620508969	23.53863907	0	4.917621613	5.18782711	0.403893948	0	229.5226593	2.358531237	1.759265304	1.196512699	257.1003418	2.470633745	31.81072807	0.278074682
pas27	137.9906616	1.84336102	1.095541477	6.784582376	8.578315258	0.963289499	0.322841987	7.568305969	2.729375005	1.156829476	58.31863976	0.579391479	0	0.887576997	0.620396972	37.33734512	5.326052666	0.608563483	1.411491036	21.24376678	0.274845496	2.713876009	1.43633002	37.50971985	0.392803013	3.067822933	3.974274039	2.166080952	0.578990489	98.56781006	1.683777988	6.222087622	3.903126955	116.52071	2.275336027	23.18598461	0
pas28	188.0125046	0	1.148930728	6.64927578	7.58233881	2.106837153	0	11.12146711	0	1.134206176	60.88074303	0.316987604	0	3.194056034	0	8.546263218	21.34779453	0.429096073	0.835428417	14.91246462	0	17.17150497	1.829635084	27.08675957	0	1.569776475	1.872444689	0.050065147	4.944926262	166.678833	1.932221293	71.21398544	4.784036636	129.5795593	75.57734299	64.31190872	3.423530221
pas29	158.1865921	0	0.819240957	50.39072037	9.882051945	1.09123081	0	10.82021904	0	0.654964	43.18203735	0	0	2.355469465	0	93.94450378	6.151356697	0	2.74838531	25.12923622	0	1.056870401	1.047940493	10.703022	0.233816117	1.260834217	7.23558116	0.799134731	0.956337541	173.6472473	2.411073685	5.634200811	1.970348954	128.0780258	1.570155025	34.1699295	0.479649946
