ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	212.1889191	0	2.314638853	110.6989288	6.999687195	1.90364337	0	5.923334122	0	0	68.84418488	0	0	2.454351902	0	73.78400421	19.38690186	1.108810782	3.972764492	13.71471786	0	0	0	2.182773352	1.154534698	2.676131487	3.566153765	165.7777557	0	180.9612427	1.769913316	4.209632397	0.705514014	0.056586809	0	19.06928444	0.106120601
pas2	226.8440399	0.737910092	2.507069826	109.4294815	8.43604517	2.507392287	0	5.361954451	0	0	70.02990341	0.25436084	0	1.55967021	0	44.83039093	25.74304771	0.926846385	3.421097517	12.7646513	0	0	2.337191701	1.522392571	0	2.263879776	2.724156499	109.9995728	1.62702167	180.8241577	0.952738374	14.02873611	1.090607047	0.367566392	0.067321789	23.20946693	1.47678405
pas3	161.5353699	0	3.19451189	212.6058197	24.77936745	1.069630623	0.474148542	2.746046782	0	0	63.90692139	0	0	1.091117382	3.944650412	63.52154922	3.196791649	0	6.864218235	11.86524773	0	0	0	2.863924503	1.102287769	2.650574446	2.94110465	131.7723236	0.328233093	118.0480042	2.257712603	8.101509094	3.131642342	0.469060034	1.872073412	9.935943604	0
pas4	145.0610809	0	2.564140081	205.0714874	10.6729784	1.588611603	0	4.54298687	0	0	57.63415909	0	0	1.265409112	0	61.72121048	4.158926487	0	6.368203163	16.88457108	0	0	0.437553138	3.109436512	0.238193423	1.626098275	2.629786491	148.6635132	0.99320668	94.47327423	1.041131496	7.477962017	0.993932664	0.8449108	0	20.11353493	0
pas5	129.5527496	0	0.861612141	78.55498505	8.624811172	0.967984319	0	6.211131573	0	0	28.95948792	0	0	1.413732767	0	43.06102371	4.675433159	0	2.6488657	14.86807156	0	0.509868205	1.177253962	3.399571419	2.077576876	1.033553958	2.902455091	153.6669312	1.155065417	111.1200104	2.335675001	5.704594612	1.981051564	1.362207413	0	19.34571838	0
pas6	265.6658325	0.172099218	0.471148938	47.86941147	11.0746212	1.219304919	0	6.555041313	0	0	96.89093018	0	0	1.409481287	0.063003018	25.07640076	10.90415859	0	1.254823208	15.01622486	0	0.137940809	4.415027142	2.017312765	0.323751539	3.057258844	1.862478852	181.4312897	1.443461299	180.4454041	1.238468409	8.842950821	1.514852285	0	0.385121226	25.26968002	1.655593157
pas7	184.8649292	0	3.210875511	276.9911804	9.493397713	1.585121989	0.007612908	4.362832546	0	0	64.17147827	0	0	0.542172313	0	78.51205444	4.123774052	0	9.492842674	15.12369728	0	0	1.141823769	2.008546352	0.155758113	1.804029465	4.596409321	161.9541016	0.978854299	117.5456467	1.093013167	8.219063759	1.027511358	0.823880434	0	10.00618076	0
pas8	175.3333206	0	0	102.5347481	5.482149601	0	0	1.353658974	0	0	71.57414246	0	0	0	0	0	4.308067083	0	2.48940587	8.064937115	0	0	0	0	0	1.538548648	2.130932689	152.7967148	1.195865214	104.1769524	0	2.935627341	0	0	0	8.343663692	0
pas9	224.9574661	3.876220822	1.9595595	179.3230515	37.44387627	0	0	3.796465755	0	0	191.5294342	0	0	0	0	21.16576099	24.63322353	1.419555724	6.21105814	5.025977373	0	0	0	1.283923388	0	4.381001711	1.193724275	75.48755646	0	123.7708664	0	6.071658611	0.142992258	0	0.411137357	31.04861069	0
pas10	136.7898026	0	3.15520525	295.5614929	14.44210529	1.021448612	0.150520798	2.101435244	0	0	105.0752869	0	0	1.404955804	1.676174164	0	8.850451469	0	9.691661358	17.25752735	0	0.733323932	0.158324115	1.312934577	0	3.248256445	3.989374518	140.6737061	1.186667562	99.92343903	0.313137203	11.41972256	2.943361282	0.911845505	1.753896892	18.13734627	0
pas11	136.9313278	0	4.770501852	498.6568756	11.41929531	2.761469126	0.73544082	6.518253803	0.231265515	0	54.20701218	1.137382329	0	2.696728945	0.094302122	101.8354416	9.718452454	0.55543527	13.89568806	16.01264954	0.054555269	0.74533838	0.020750271	2.1918782	0	1.171617508	2.822451115	129.5050125	1.656843841	111.6249733	1.565004408	4.007574916	0.276020586	1.476972699	0	32.75007057	0
pas12	83.56946182	0	7.516264915	153.270874	7.538319349	5.262998819	0	8.948056698	2.295948863	0	20.41610718	12.76757813	0	10.17925978	0	3.455305934	13.32749939	2.528681993	5.149296045	5.886550188	9.787256718	33.30958366	6.739541292	3.3265481	0	3.160194159	2.70118022	89.44226456	12.55599308	78.26813889	3.696979642	202.0362778	14.91499138	7.161379337	17.42630482	147.9732895	4.833775043
pas13	140.0730286	1.049854994	2.656904936	105.8391724	12.04598141	1.788442016	0.579892993	2.974450111	0.0048	0	67.369133	0.094865002	0	1.138196945	0.98446703	33.4036293	11.2548151	0.346403986	4.151251793	8.006341934	0	0.085470997	2.878614902	1.167454958	0	1.911301017	2.151501894	78.13550568	1.745893002	92.11154175	0.492695987	18.82967567	1.512446046	0.628084004	0.418554008	18.90950584	2.044487953
pas14	277.153595	0.042758446	4.970003843	183.8670578	23.41146088	2.384087086	3.221332669	6.209027529	0.522802487	0	202.5927353	0.783232361	0	1.442028701	1.508131981	12.87716055	20.24965477	0.416141033	5.56936574	4.965684891	0	2.480393648	0.011481728	1.92777276	0	7.346372366	3.580232263	230.2445221	0.267695196	172.899704	1.567456305	12.13255453	4.610955715	0.480992019	0.901894003	24.0036726	1.787569165
pas15	201.5840302	0	2.986789465	340.4400024	12.23480129	0.455375284	0	6.240113735	0	0	127.4765701	0	0	0	0	90.43691254	8.16530323	0	11.29671192	26.09112549	0	0	0	1.543760538	0	2.853039742	2.467230558	102.6033401	0	138.0959473	0.348304838	2.541497946	0	0	0	19.57631493	0
pas16	168.1548691	0	4.220599174	411.8886566	11.66979122	2.132541656	0.981917888	4.793493986	0.340999916	0	104.2846107	0.945018321	0	2.116058946	0	0	10.83832502	0	16.93654537	13.70439053	0	2.024464607	0	0.526368737	0	3.227186084	4.42276907	177.6350861	2.654328227	118.9171753	0.718517393	18.7200079	1.982466638	1.664811254	0	23.03050518	0
pas17	239.5777588	0	3.140752792	267.0621948	11.25922012	1.934190989	0.971399903	8.44562149	0.115843251	0	128.1608429	0	0	1.069738507	0	89.7177887	10.10708523	0.012700182	10.21707058	18.0723896	0	0	0	3.280003309	0	4.358700752	2.536795139	123.785759	0.459061295	136.4544983	1.694362044	6.186172009	1.379025936	1.453626275	0	30.92637062	0
pas18	226.3615875	0	4.07356596	331.864212	12.15026951	2.35394454	0.476918623	9.441655636	0	0	77.63257599	0	0	2.748049617	0	143.9360504	9.103012085	0.628494769	10.7931838	25.17004299	0	0.674572706	0.019670731	3.314936161	0.504870594	3.26099956	4.518155575	230.2642212	0.09672616	190.3991699	2.938485026	16.20556641	3.208651423	2.234347701	0.038059996	47.55549049	0
pas19	141.2296829	0	2.181175947	200.9227295	9.242247105	1.241786778	0	4.069984198	0	0	83.48021317	0	0	1.170286119	5.158527613	0	6.323815346	0	8.362933636	12.34766912	0.107267503	11.08989382	0.197497927	2.650233746	0.060420439	2.490930438	1.941116929	123.6802521	2.046280026	98.04655457	0	7.639268637	3.217594743	1.008800507	1.444054127	13.92254496	0
pas20	194.5312958	0	4.18490696	419.5555115	13.48217583	2.447239876	0.5949561	9.080099106	0.23706305	0	50.33715057	0	0	3.306161165	0	144.2817383	13.47699356	0.320324749	12.87417793	14.78122711	0	0.423078507	0	1.411451101	0	1.706732154	5.143616676	136.2319031	2.150769472	174.4165344	2.427523613	14.31623077	1.27116096	1.510971546	0	70.29425812	2.385936975
pas21	252.2300415	0	5.801557541	512.824707	16.63737297	3.220546007	1.122223377	8.604779243	0.338546932	0	89.76222992	0	0	2.950193882	0	162.1207886	15.39488316	0.927218914	16.02860451	26.4231205	0	0.273849696	0	6.319592476	0	3.409334421	5.30384779	273.4555359	0.31550619	185.9061737	2.737696886	5.376814842	1.535692334	2.945049286	0.064071439	76.63121033	0.098255165
pas22	243.5022354	0	4.912386417	489.3015137	13.65901184	2.120127201	1.390082657	9.316179752	0.436370566	0	117.2098083	0	0	0.483328149	0	111.2341232	13.77850676	0.446634129	15.68683338	19.88775539	0	0	0	1.872540295	0	3.914169431	4.884902954	147.5090256	0.289566815	162.2261734	1.853675604	5.494369745	0.653553993	1.313122332	0	49.8132	0.092286792
pas23	215.1195526	0	5.548570156	499.7079468	14.70332718	2.964833975	0.968274534	6.516412735	0.154586405	0	78.45439148	0	0	2.858602762	0	142.566452	17.45198059	0.636192262	15.41242123	20.50547218	0	4.524890423	0.232403517	1.752064347	0	2.670020819	4.350751877	194.642395	0	166.8970337	2.734323025	23.98720741	2.408822298	2.891278028	0	80.590271	0.204607636
pas24	136.4510193	0.914082408	3.478578568	378.536972	12.07742214	1.829719126	0.522556841	3.159502029	0	0	65.04443741	0	0	1.430883706	0	103.7123909	5.64333272	0	12.64885139	13.15974998	0	0	1.851893604	1.412281036	0.213555433	1.956001282	3.051999807	144.1841049	2.208112001	106.1812935	1.724523604	13.31499624	1.342453837	1.122036576	0.439040005	17.669981	0.260580376
