ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	278.2899475	0	1.044933319	5.028150082	18.99371147	2.151959181	0	6.015838146	0	0	125.109993	0	0	2.132733345	6.259838104	46.72388077	13.53542233	0.72952956	0.394372255	14.53215408	0	0.939336717	4.047076225	124.2213745	2.599450111	4.026006222	2.53753686	149.8145294	0	133.1170349	1.769844294	3.784687996	2.633186817	0.546235561	5.257118702	31.18976593	0.345361084
pas2	255.9342804	0.736078918	1.062596083	4.546748877	12.09775305	1.975681961	0	4.442258358	0	0	110.7863655	0	0	1.256023824	3.724704623	28.89369011	24.72303104	0.190897673	0.578468978	14.80885077	0	0.866897374	5.049152374	77.08858871	0	3.671447635	1.190450072	102.9316406	1.765176892	131.3509369	1.306276619	6.509375095	1.224324882	0.613768816	3.658207655	28.86233616	1.665550411
pas3	231.3525925	0.326411128	2.414091587	5.102484226	27.86326408	0.371520519	0	2.911471367	0.297474325	0	84.78629684	0	0	1.23218435	15.97669172	51.45350456	3.510241389	0	1.495030224	24.52855301	0.038421292	1.32651186	3.555088043	136.218277	3.084310293	3.995255947	7.509882212	137.3337021	1.016925931	123.6339035	2.662904978	4.908377886	7.695712328	1.429701269	17.60743046	8.829304695	0
pas4	184.5291138	0	0.462824702	7.412425041	21.01263237	1.108440757	0	4.028312922	0	0	91.22096252	0	0	0.949224472	4.454798937	37.06654167	3.175496817	0	0.333380371	26.04525185	0	0.680902153	3.514265537	94.84156418	1.063147306	2.696617723	1.190975189	146.7469711	0.973170459	88.41371536	1.615975976	3.455403924	2.435395718	1.137853384	1.46410501	16.38363934	0.032063488
pas5	163.0581055	0	0.529724777	9.084075928	19.20669174	0.932266235	0	5.703016281	0	0	46.97552109	0	0	1.993815541	3.331653595	30.12166595	4.847782135	0.18889147	0.434563428	22.04180527	0	1.344165206	2.61982131	48.36313629	2.811200857	1.56421721	2.117667437	156.4948425	0.868272483	91.76384735	3.050626755	6.658794403	3.21611619	2.06896162	2.441086531	19.86198235	0.236110285
pas6	308.2621765	0	0.681131482	1.905175447	14.67715454	1.354302585	0	4.452452898	0	0	142.0260696	0	0	1.442055881	2.670415759	20.00816822	12.80684757	0	0	21.35647678	0	1.046928227	7.10309577	78.6758194	0.373817936	3.990831137	1.085790932	167.805275	2.563521147	147.8836212	1.269319415	7.983181	2.801280141	0.396457419	3.100977778	22.45278454	1.695569932
pas7	258.4393311	0	1.022255182	5.472519398	11.91873455	0.857350826	0	3.479333639	0	0	123.4752502	0	0	0.764490128	5.490180016	52.67627335	3.429129362	0	1.294892192	28.7504425	0	0.646375537	4.494886398	108.2472305	1.936844349	3.901793003	2.464125395	168.8775635	0.831237853	98.48679352	2.326708317	6.209735394	4.098823547	2.248122931	6.701790333	9.188829422	0.083169386
pas8	200.5532379	0	0	2.874428511	16.66422844	0	0	2.082529068	0	0	129.4185486	0	0	0	4.499236584	0	4.868785858	0	0	11.88931084	0	0.303858042	0	69.51700592	1.58787179	3.795101404	2.162824869	127.0059738	0	87.48340607	1.402008295	0.967406511	2.094249964	0	3.260730505	7.359087467	0
pas9	330.127655	11.09832859	3.68315649	0	51.0023632	0	0	7.168298483	0	0	250.3917465	0	0	0.017329722	6.656702995	16.73526478	15.51337004	0.795285493	0.439400122	13.26215649	0.266968861	0	2.941116452	163.9960861	0	8.000945807	33.03333855	87.6905365	0	147.848465	0	3.095220685	10.53063154	0	38.91674232	24.3993063	0
pas10	191.1895905	0	0	5.339316368	9.11427784	0.070707582	0	2.044988871	0	0	138.8704224	0	0	1.586218596	4.992200375	0	7.958923817	0	0.957711816	20.24290466	0	2.330495119	3.308328152	92.95735931	0.750731111	3.818231821	2.645306587	130.0770111	1.705993176	84.26153564	0.853164792	5.969807625	5.174620152	1.326246738	11.26971436	16.45769119	0
