ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	212.9707794	0	1.354592323	7.04037571	17.14141273	1.508087039	0	1.436847329	0	0	92.46808624	0	0	1.324445963	2.758014441	35.00169754	13.07331944	0.75760287	0.741228878	12.83624935	0	0.814936101	1.588345051	27.49739838	1.640531659	2.726320267	2.450332165	3.417628288	0	142.5084686	1.329462886	2.877667189	1.927606225	1.268849611	2.220331669	21.86083031	0
pas2	212.8654327	0.548616499	1.470411599	4.807552338	8.920814037	1.60117203	0	2.257038116	0	0	91.14702225	0.1342168	0	0.834753871	0.889508843	14.67896891	18.33963871	0.117775656	0.573961318	13.52721882	0	0.299017832	3.500063658	41.8396244	0	2.504936457	0.703429103	4.238392353	0.934699625	145.3669968	0.584451914	7.126811028	0.87485981	0.652335256	1.44428283	22.36707687	1.481999874
pas3	156.1434784	0	4.917721033	38.18750954	43.8270359	0.848246545	0.032413258	0.413302764	0.161683016	0	68.98526764	0	0.719962388	1.338231146	12.49501181	55.4040451	2.338794708	0.09652612	3.474814773	31.17127228	0	0.736811936	0.409980983	11.41721296	1.645016968	3.195901871	11.07279396	4.138313532	0.260351866	171.3505554	2.659469247	5.610797882	7.368933201	1.073824108	9.182781696	9.727080345	0
pas4	138.9464722	0	1.115180612	8.814972878	16.89152527	1.008963346	0	1.395990729	0	0	61.91889191	0	0	0.4713296	0.956883967	28.90166092	3.692230701	0	0.783462644	19.49341202	0	0.268256158	1.909286022	50.69205856	0.367047489	1.290644646	0.761510491	3.126982212	0.34252739	95.26036072	0.852729082	3.953133583	1.280722618	2.269092321	0.831147134	16.10658264	0
pas5	100.6906357	0	0.173259795	9.037990093	11.45290136	0.270206735	0	3.109182358	0	0	20.19270515	0	0	1.008404136	0	15.79465055	4.831608057	0	0.198744282	12.18890047	0	0.69775188	1.506478786	10.24656343	2.209572554	0.386648551	2.000860155	3.299079895	0	94.75395203	1.694163024	4.487664223	2.585315824	5.296555281	0.461908773	13.51714373	0
pas6	269.5097046	0.346377015	0.845673263	2.966371298	15.63885307	1.137228966	0	2.024638176	0	0	113.8785934	1.092760682	0	0.992714643	1.847013712	19.10074425	12.67371655	0	0.282205582	19.61278915	0	1.279390335	5.964530945	37.4973793	0.066984914	2.826617002	1.067371845	2.858854532	2.058117867	192.4386749	1.116750717	9.441793442	2.140660763	4.362547398	1.389527678	22.06843376	1.301287651
pas7	216.003891	0	1.010752082	6.802125931	23.74255371	1.119822383	0	1.263165712	0	0	98.51010895	0	0	0.846196651	7.924227238	55.12911606	3.502680779	0	1.735395193	30.39782333	0	0	4.520812035	75.2433548	1.35176754	2.944591761	1.937518597	3.378381014	0	88.6980896	1.166538715	7.591804028	2.400657654	3.364063501	7.399301052	8.931542397	0
pas8	128.8294716	0	0	2.682265043	6.432981491	0	0	0	0	0	52.69756317	0	0	0	0	0	4.639538527	0	0.474265531	6.838505745	0	0	0	17.17069435	0	0.957799196	0.101051744	0	0	99.51182556	0	0.052037489	0.04565664	6.392879725	0	4.67242384	0
pas9	220.3258972	5.04496479	0.781791687	0.429091871	30.34934998	0	0	0	0	0	138.4300537	0	0	0	1.192101002	4.471576691	17.171772	0	0	6.56768465	0	0	0	52.62063217	0	3.576861858	6.199076176	6.519081116	0	113.863884	0	3.082571268	2.650473833	0	6.198291302	20.36836815	0
pas10	165.9348297	0	2.366508722	11.06679821	17.51495361	1.434078157	0	0.9175888	0	0	104.7633514	3.636658549	0	0.725755692	6.582916737	0	8.744920254	0	2.676848888	23.69914436	0	1.490297496	2.993300319	37.5057888	1.887401283	3.404753685	1.736828387	6.417310238	3.637099862	79.80299377	0.927525282	12.45453405	2.283029675	0.485733598	16.47623968	13.86217451	0
pas11	148.0150757	0	1.405344248	3.804544449	8.370930672	1.452087998	0.271706134	2.287082672	0	0.639562249	67.12213898	0.820752442	0	3.447413921	7.182260513	82.09853363	11.31312084	0.858708262	6.789819241	17.41783142	0.320582211	2.671447277	2.19023037	58.8992157	0.453187793	1.410894156	1.22534132	3.206647635	2.703065872	66.53062439	1.663189769	5.834254265	2.012528658	2.394911051	1.873967767	28.82354736	0
