ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	271.4375153	0	3.334004164	85.004673	3.993237019	4.285442829	0	0	0	0	9.040052891	0	0	4.839100361	0	1.778611958	2.301911235	1.128379524	3.271572828	0.810141861	80.416996	3.933592796	6.901119232	4.960123301	269.534256	2.745039463	132.4762039	4.360594988	0	4.997356176	200.5350113	60.13904381	652.1794128	25.44088459	1.290721118	187.7764969	0.725672632
pas2	154.7550354	0	2.239882231	71.06513977	2.610144615	2.453271389	2.305876255	0	0.025496386	0	3.540011406	0	0	4.259169102	0	1.540230155	4.197309017	1.795235395	2.561327457	0	62.27209854	6.438973427	10.87273026	3.104896307	276.9525757	2.77107954	107.9816818	3.805126667	4.785353184	3.077576399	180.1933289	67.25701904	644.4197388	31.32151031	0.011432218	126.1567154	1.918193579
pas3	259.6502075	3.016433954	8.513776779	191.1658096	9.702365398	1.899135113	0.811853409	0	1.80946672	0.131873995	6.704993248	0	0	2.905473351	0	15.86940956	0.400074571	0.250039175	6.015048981	1.360040247	19.48930931	2.486271977	2.763050675	6.868348598	222.4907608	7.287715912	115.9690285	4.174812555	1.05627799	4.129776239	429.14888	62.4241581	807.9838867	33.38419724	2.210734129	81.48482513	0
pas4	163.1874313	0	1.630466938	83.13331985	11.28404427	2.6700629	0.824418068	0	0	0	14.934484	0	0	3.158496857	0	6.667913198	2.770597935	0	3.586103082	1.890247703	8.264491558	0.799488604	3.091172099	5.488286972	190.5689774	4.368050218	127.6362953	3.616998196	2.567468047	5.563045025	172.7181778	34.75885201	278.9416809	15.26626301	0.330642566	75.127285	0.086015929
pas5	188.0679474	0	2.96048975	66.04624176	6.730836868	2.081787825	0	0.638303936	0	0	9.968029022	0	0	3.64796567	0	5.244901657	1.725739956	0.190549508	2.259620905	2.735208988	31.16698265	3.885498047	7.637662411	8.524537086	278.3181458	3.351803064	127.2716293	5.150339127	1.274195313	12.2294178	233.4431305	51.79594803	345.5811462	15.95489597	2.138771772	73.26012421	0.518105268
pas6	299.1762085	5.155945778	1.485422373	131.5649796	14.91117644	3.216862321	0.294580758	0.606299758	0.586722732	0	27.06945515	5.174001217	0	2.953849673	0	1.80708763	10.34307289	0.701813161	4.806900799	2.731771946	3.875519156	1.7955724	6.058472991	7.047265291	249.1764679	1.812902272	132.8856926	5.468880177	2.10864675	1.784211606	203.6441727	44.42609024	589.4541016	32.96477604	3.603325367	45.70790768	1.572526656
pas7	201.7119141	1.145761967	4.022155762	264.2103882	10.82856655	2.842837572	1.558557272	0	0	0	20.96414757	0	0	2.432722569	0	4.767098427	1.800759912	0.037282255	11.15457535	2.095698595	8.123632431	0.089687377	3.210194826	4.154566288	219.3256378	6.676449299	151.2393036	4.630207539	0	4.610489845	197.7801819	58.88209534	292.8297424	15.63806343	2.10085535	85.01790619	0.310985178
pas8	265.1950684	0.066789918	131.2794142	53.3226738	2.593693018	0	0	0	0	1.18517375	15.43172026	3.582927227	0.821145967	5.153743744	0	6.670423627	0	2.435407877	2.182843685	2.049105406	11.95105481	0.332939595	6.516760826	1.575063944	215.9292908	7.389324486	73.07949829	3.756635666	3.75027968	7.372245073	237.6890182	49.68224907	916.5507813	39.1927433	6.941853166	39.972085	3.131566763
pas9	317.1390686	7.796886444	4.469896317	274.6735229	8.720568657	1.140630245	0	0	0	0	26.03579712	0	0	1.878815651	0	13.06533527	1.672987223	0.817090094	10.35961246	0	27.05161285	0	0	3.127391338	245.5119019	5.973062038	192.492981	5.648226261	0	1.784961343	336.2029419	40.74085236	666.9579468	27.33702469	2.60214448	79.64851379	0.564169049
pas10	213.7644196	0.087471716	0	307.3176575	12.59878063	0.130875543	4.288822651	3.730151653	0	6.883677006	0.613166571	0	0	10.34038925	0	0	3.138937473	0	4.125481606	4.396446705	32.00282288	0	0	0	69.75701904	0	107.783989	0	4.081691742	12.01334095	116.2638474	67.28174591	527.0303955	25.52725029	2.486747026	203.6542664	0
