ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	64.68662453	0	6.91800642	222.254425	33.05064201	5.880042315	26.83630753	0.800475985	0.671387285	1.384104848	80.62756729	0.585243881	0	3.601876974	0.008293615	4.504866123	9.229226112	1.487934351	2.661130548	1.870147407	1.035171151	6.252542496	1.739280879	2.178799748	1.883283854	1.716435552	16.5565958	1.34131068	0	1.95682621	0.525362849	18.69625664	6.022075415	0.896914393	0	48.82704163	1.99829036
pas2	106.5511322	0	24.37071991	237.9971466	55.59593582	4.05848217	61.8444252	0	0.071705557	8.985613823	121.3109055	10.67907047	0	0	0	1.005455375	25.79545975	0	18.57657814	3.056545734	0.154012337	0.071961358	4.67124939	3.254154205	0	0.042812463	11.11405849	12.84798241	0	8.006972313	1.074869633	11.33210182	0	1.261542559	0	52.97230911	27.70396233
pas3	53.810215	0.069016404	6.881562233	89.25360107	20.33153915	1.441186428	89.30586243	0	0.441083074	0.278823137	91.04332733	0	0	2.531758547	0.646610618	6.799462318	3.017075062	0	2.990181923	0.3523238	0	2.799865723	0	4.547572613	0.819783092	2.885343313	6.603917122	1.628114462	0	0.205201775	0.668147743	14.65925884	4.194125652	0.917107761	0	21.36126328	2.175456524
pas4	47.10955811	0	3.838803053	160.8738632	32.42448425	3.089127541	28.03990173	0	0	1.750785887	88.53777313	0	0	2.334229469	0	6.45681262	3.241226077	0	5.270970106	1.54387337	0	0.663077295	1.581101477	5.45269227	1.241364479	1.853732765	5.804004908	2.546812534	0.949500442	1.260348797	1.249016941	7.902905941	3.910230279	2.234675169	0	59.69075584	0.734303832
pas5	144.2945862	3.372636318	89.12005472	91.99269485	127.1558876	49.11380875	123.9298601	12.08747196	12405.38086	76.50807416	68.40480614	2.032638788	0	4.462166011	1.549299955	1.138173342	0	2.558199644	4.206522524	6.400766611	1.669850707	1.500354171	3.316777945	527.527771	4.309349	0.914628744	0.951307654	2.512653172	0.507185876	3.257148504	3.553563833	79.34312439	0	5.4482584	0.884442568	0	0.576481342
pas6	125.7758064	0.872056246	5.435186923	132.686924	23.58655787	1.064613868	22.47869015	0.188476875	0.609666474	0	132.5719833	1.236228779	0	1.357913733	0	1.55735749	9.852354884	0	4.308625698	2.023577631	0.140170515	0.154075176	11.88769531	10.86015272	2.919094086	2.081987381	21.09998322	0.144294336	0	3.599883437	0.827469289	20.96124077	3.754046798	1.226798296	0	49.4560051	3.217670798
pas7	55.62042618	0.01386048	5.234218836	239.1694336	16.05387163	2.682528853	119.5940361	0	0.393694684	1.391271949	102.2571106	0	0	2.326589465	0	1.865712762	5.196169376	0	8.4639678	0.320482031	0	3.90745461	2.006189883	2.371392131	1.207345605	2.764249206	4.534885883	0.451694667	0.701744914	1.699304581	0.55214873	19.7244997	1.981649339	2.497635961	0	17.93074417	0.991202086
pas8	156.5834351	5.222013474	0	223.8978271	52.22652817	2.467387915	20.83752823	0	0	0	161.329071	5.38544178	0	3.875560284	3.122839689	0	0.560000122	0	14.89580822	0	0	0	0	0	0	0	35.8263855	1.008108735	8.61974144	1.279575944	2.247116089	0.683976293	4.884536266	0	0	24.78225136	5.440727234
pas9	78.88993073	6.456394672	7.094623566	75.48541641	27.53769302	1.905486107	72.98166656	0	0	0	253.3528519	0	0	0	0	1.089667261	19.45991039	0.653511167	4.769403219	0	0	1.825147927	0	2.001748621	0	7.885833263	14.15048313	1.444943905	0	0	0	8.284236908	0.380504504	0	0	34.37703896	3.645657659
pas10	48.63006973	0	5.713033199	314.0316467	10.98526478	2.090851068	98.63481903	0	0	0.30203265	125.9744415	0.179057211	0	2.310573101	0.20662643	0	10.82152462	0	10.81682491	0	0	5.744178772	0	1.341372252	0	3.367037296	8.580816269	0.439094424	1.106866479	0.865279794	0	13.00274944	4.769655228	2.838159084	0	32.36774445	6.772557259
pas11	51.64534378	0	5.014023781	303.3804321	11.78245211	3.109632134	118.0996323	0.39933303	1.171436131	0.902347535	90.74578857	0.621680692	0	4.948043585	0.242033169	13.61374187	3.154651046	0.634998113	12.25748587	0	0	3.477670074	0.650590539	6.452912807	0	1.820890665	5.822146416	0	1.553159535	0.573160246	0.158354409	9.71385479	2.968211532	3.732989788	0	36.48466492	1.590485215
pas12	39.86631775	0.010625392	15.87276936	65.41134644	10.07065773	6.19806242	60.7652092	0	2.338574886	0.117677025	48.84162903	13.41731644	0	11.00514507	0	0	11.36723995	3.367778778	3.011589289	0	11.65344524	36.5511322	7.205479622	4.666809082	0	4.397248745	7.345751286	1.781232953	13.14205933	2.848078489	3.128644705	231.8458557	19.01862144	6.924921036	17.39459038	148.3743134	16.09174156
pas13	55.8062191	1.335207522	6.332910061	99.42560959	15.75695944	1.936458945	49.0754509	0	0.717830986	0	91.80820847	0.773312002	0	1.085969478	0	1.097688466	13.95250511	0.027749	2.309165001	0.0118085	0	1.785151005	3.45105958	0.912360489	0	2.164946437	5.957865477	0.870559007	2.237798929	0	0.126439497	17.32057858	1.264274001	0.944984496	0	37.35017014	6.800774574
