ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	80.85218048	0	3.467497349	114.8384857	32.63302612	4.099871159	6.434344292	0	0.706379235	0.466156483	87.56272888	0	0	3.667129993	0.516206861	7.599293709	4.508878231	1.282657981	2.549836397	1.752732873	0	1.167690635	1.902327061	5.535244942	2.602267981	2.189319611	12.12377834	1.502738833	0	3.092532158	2.254743099	6.112476349	5.366394043	1.05542171	0	41.15587997	36.15032959
pas2	109.829319	4.476714998	8.916534424	138.9003563	30.44735336	4.017356873	5.366738558	0	0.976202399	1.08112669	58.94185257	0.518710792	0	9.20219183	0.145590901	0.066373169	16.67564201	0.059661429	3.798066616	1.528272867	2.420220852	0.465109713	4.629091501	1.708071768	0	1.913678823	7.416194677	1.402556658	0	0.421075284	1.916594028	11.40627289	2.133444071	1.198987663	0	36.11940765	141.3777847
pas3	54.17191696	0.069016404	6.905611515	89.25360107	20.30811882	1.423740387	88.88983154	0	0.38985005	0.264863282	90.73525238	0	0	2.500726461	0.68070811	6.761219501	3.007476807	0	2.986416101	0.31509316	0	2.79864049	0	4.568259716	0.810552061	2.865639687	6.639965534	1.706355572	0.002576831	0.205201775	0.653798878	14.55391026	4.19545126	0.917107761	0	21.36126328	2.261785984
pas4	49.29470062	0	3.948333025	160.861969	31.09091187	3.009214878	27.24593353	0	0	1.629396319	87.10218048	0	0	2.31122303	0	5.932848454	3.21407032	0	5.047077656	1.532524586	0	0.608345449	1.566737652	5.462294579	1.277924299	1.80369246	5.911826611	2.893487215	0.947627664	1.226354957	1.153875351	7.855813026	3.768729925	2.197474957	0	59.17525482	0.888403058
pas5	118.4139137	0.642179489	5.17587781	43.73806429	116.9014702	1.548053324	10.76076803	0	0	17.21279061	104.7790794	3.728352904	0	5.669214487	2.172918677	1.147255138	0	3.59902966	0.771578133	11.97319174	0.483054787	7.432823539	3.442209601	67.20783997	10.88146281	0	0.951307654	2.512653172	3.213899314	14.42996383	3.553563833	5.181466579	2.75025177	19.22970676	1.807108164	6.77200985	23.19377756
pas6	155.1565552	1.744112492	2.708248138	104.6057053	12.820961	3.519919395	2.030336857	0	0	0	89.2129364	0.20637016	0	1.017377615	4.064406872	1.254411101	9.552027702	0.25020656	2.718721628	0	0	0.794249535	6.361002445	1.951763391	0.426008195	1.324821949	8.223731995	0.288588673	6.0610466	0	0	13.05111217	2.549141169	0.540461481	0	44.26882553	58.92411423
pas7	57.83495712	0	5.237221241	238.5642395	15.98923588	2.666435003	118.6983643	0	0.382510662	1.30929637	100.9205399	0	0	2.329895735	0	1.86032784	5.084731102	0	8.465185165	0.318927556	0	3.738982916	1.876672387	2.494383335	1.192996621	2.710484505	4.560893536	0.489787489	0.740662396	1.700180054	0.570501626	19.19743156	1.944254041	2.387229919	0	17.74097824	1.129584908
pas8	91.91524887	0	10.01187754	11.11633396	5.831610203	0.115645103	0	0	0	0	4.582159042	0.024802044	0	1.141580462	2.610671878	19.63506484	1.186536729	0.31552887	1.376666516	0	0	0.9381226	0	0	0	0	0.092968978	0	3.785776973	1.743169963	1.252413273	0	1.326742649	0.996799931	0	9.183107853	62.6580677
pas9	82.8843689	6.254912376	6.798165321	71.0427475	25.03996086	1.675157189	58.65789795	0	0	0	237.3587036	0	0	0	0	0	16.34610558	0.697727799	4.041704655	0	0	1.037972331	0	1.546242476	0	6.960443497	15.59858799	1.462658167	0	0	0	6.94242382	0	0	0	32.57441711	6.170811653
pas10	49.26166916	0	5.666687965	299.1576538	10.85368633	2.084583521	97.54785156	0	0	0.229573905	123.6748734	0.179057211	0	2.21242857	0.20662643	0	10.82152462	0	9.887812614	0	0	5.686493874	0	1.313131928	0	3.11634016	8.141757011	0.458322793	1.06803906	0.865279794	0	12.93596268	4.767375469	2.838159084	0	32.10963821	6.89471674
pas11	66.74720001	0	2.945491433	39.2925663	5.296942711	2.190458059	81.25045395	0.267753005	0.663915157	0.058712671	56.45198059	0.272838004	0	1.734548509	0.3165427	13.10188437	2.289916158	0.235300913	7.515277624	0	0	2.267130852	0	1.728700638	0	0.788246244	1.183039904	0.019287564	4.61636281	0.360247225	0	8.073441505	2.259434223	1.350989223	0	18.82550049	6.935460567
pas12	41.07385826	0	15.76019669	65.70230865	9.906644821	6.212504625	55.72574615	0.080409732	2.335138083	0	43.89827156	12.90620947	0	10.99441719	0	0	10.97163439	3.261101604	3.05217731	0	11.36918068	36.187994	6.95179224	4.723141193	0	4.296833992	7.708659649	1.866165042	12.85934973	2.912161708	3.106620193	227.9816437	17.95421219	6.918329239	17.23645496	147.9795074	19.51801777
pas13	90.33435822	0.94769448	7.863016367	240.3383636	12.56572056	2.589200974	20.82612324	0	0.258607499	0	35.9740696	0.578880996	0	1.682443976	1.22318697	0	13.00927353	0.355076	6.658977985	0	0	0.910855025	2.929149985	0.201536506	0	1.171076536	7.32894659	1.800765991	2.206848979	0	0	23.99400997	1.442426503	1.175392985	0	42.45500946	120.3506584
pas14	103.89151	0	8.040996552	165.2200775	80.48980713	4.741559029	59.85847092	0	0.17102918	0	185.3913422	1.20042789	0	3.944244623	1.551655889	1.006285071	16.14740372	0.118126094	5.431323528	2.154495239	0	4.324483395	0	0.749098837	0	6.547322273	32.76123428	4.385774136	0	0	0	22.33857155	2.523226976	0.222585022	0	44.79013443	6.076368332
pas15	86.10231781	0	8.905139446	272.6481323	14.52447844	2.475467563	55.94065475	0	0	0	158.6693954	0	0	0	0	1.867117941	6.330617905	0	8.48786211	0	0	0.414719254	0	4.151392221	0	3.951603055	18.74038792	0	0	0	0	3.469558001	2.697318077	0.8524535	0	21.96682835	2.900366068
pas16	88.24968719	0	6.364138603	375.4916382	22.08422279	2.558512688	82.32266235	0.20185031	0.379778832	2.282816887	149.9253693	0	0	1.950382352	0.965050876	0	13.86973286	0.001977746	11.81719112	0.706028521	1.01215446	4.593161583	0	1.570852518	0.741507888	3.833968401	7.670239925	1.852681994	1.934686303	1.204739571	1.139184952	20.38572693	3.21393013	2.096046925	0	35.33063126	7.369038105
