ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	251.706131	0	1.309209824	10.80509186	36.65154648	2.774062157	0.511987805	0	0	0	136.5687561	0	13.93360043	1.875704288	0.741745889	39.03437805	13.9797411	0.648115098	1.049896717	12.76754379	0	1.325036287	1.923142672	78.54217529	1.969926834	4.043033123	1.444149613	2.119626284	0	344.8123779	2.909445763	4.262796402	2.570233345	0.272018164	2.05136919	33.84370804	0.508138716
pas2	189.4251404	0	0.571342617	5.122183323	23.741786	2.354221344	0	0	0	0	118.1280365	1.638878405	12.0074296	0.317642003	0.562899321	20.66834068	15.04466772	0.107545063	0.140623927	12.64462233	0	0.582600549	3.665700316	53.77213669	0	3.767557144	0.078128415	1.027783394	2.146341205	264.3030853	1.545983553	10.04190207	0.335745856	0	0.614464641	31.59255219	1.958054364
pas3	181.8496475	0	2.463672638	10.85211802	34.17406654	0.24068924	0	0	0	0	86.8165741	0	13.02794313	1.301097035	1.290187001	22.16645336	1.630224586	0	0.939154655	18.93048763	0	0.798502862	0.921082258	52.06350327	2.337566018	3.619511127	3.740968227	3.264775157	0.268517688	326.9667816	3.122631073	9.768785	4.777083397	0.684245825	7.770328522	7.430146456	0
pas4	161.2780609	0	0.700231194	8.101495743	19.90735245	1.449714065	0	0	0	0.150727496	93.64472961	0	16.56064796	0.690061927	0	30.14697456	2.844277859	0	0.557060242	22.12256622	0	0.39924553	3.050458908	78.22371674	0	2.638875961	0	1.688810825	0.846425533	237.8003693	1.59619379	3.925717592	0.615307748	0.46718064	0.171891227	17.20435715	0.3938362
pas5	165.954895	0	0.7133044	11.71379566	51.48799133	0.868329465	0	0	0	0	60.79243851	0.884623826	16.96578598	2.74011755	0	21.61583328	2.398499012	0	0.772497594	19.97994614	0	1.693188548	1.712898374	50.3000679	4.687563419	3.036474228	0.457043648	3.105125666	0.388076127	218.5373993	3.092982531	6.454432964	2.588005066	0.965348303	0.831398129	19.7606144	0.686990976
pas6	291.7225342	1.942616582	0.961709738	4.87142086	22.74003983	2.470271587	0	0	0	0	165.607193	0	20.98980331	1.117789268	1.024640441	12.85827446	9.157319069	0	0.282205582	13.02972221	0	3.196180344	5.468352795	37.4973793	0	3.6188097	0	1.983662248	2.513357162	417.2502136	1.671778917	8.974543571	2.034160614	1.854501247	0.347690821	22.79037094	1.301287651
pas7	210.5063477	0	0.56399937	9.553898335	12.86615467	2.35339272	0	0	0	0	111.0008469	0	12.22149944	2.542537808	2.387001753	58.42417336	3.566974163	0	3.192679167	24.68546772	0	0	3.707793117	64.14365196	3.368148565	3.479416609	1.797520816	1.804329336	1.17242527	188.1085358	2.510115981	14.85199976	3.023867607	2.846778512	1.22142601	15.05198431	0
pas8	179.8114929	0	1.363158584	1.598973274	12.78203297	0	0	0	0	0	119.8243942	0	7.416916847	0	0	0	6.536840916	0	1.411803246	8.645545959	0	2.534808874	0	19.44123077	1.097559333	4.168523312	0	0	0	200.8525391	0.222713768	1.147043109	2.973243475	0	0	4.824628353	0
pas9	256.0871582	8.715684891	2.674283743	9.66063118	51.75664902	0	0	0	0	0	213.7128754	1.03331244	11.41919613	0	0	5.270706177	20.48134041	0.965808749	1.836173058	5.483798027	0	0	0	25.52549934	0	6.172308922	4.174014568	1.518613935	0	236.8451538	0.096059896	8.586885452	3.045060635	0	4.886174679	29.10774231	0
pas10	225.2745361	0	0.28966549	7.757100582	30.34507751	0	0.560863316	0	0	0	141.3373108	3.052188158	10.01358414	4.491983891	0.763223529	1.358654857	16.61469269	0	0	25.50477409	5.208846092	3.627568722	0	31.49346352	2.341858625	13.42457867	0	4.376649857	6.728822708	80.44811249	2.730304718	17.69131279	20.13817596	0	19.1904335	0.168596759	0
pas11	177.912056	0	1.707582355	3.008588433	5.972801447	1.295845747	1.803215891	0.414991379	0	1.262480974	99.84266663	0.888811141	13.51939678	4.005593181	3.979214191	92.58197403	9.54098177	0	4.232704163	22.869524	0	3.382770419	1.741864085	61.68329811	0	3.706350446	1.292668581	1.231272876	3.279996753	124.524044	2.648273826	6.955869913	0.819286395	1.796553969	0.78142944	32.45386505	0
pas12	118.7086258	1.145293951	10.33523273	1.31663847	20.58701897	4.694082737	0	0	2.464968204	0	46.33472061	10.93539047	11.20785522	7.760870934	0.276890814	2.879665613	17.49241829	2.583482742	1.165506601	12.33427143	10.98946095	30.98298073	6.380665302	50.8528862	0.412127882	4.840538025	2.219897985	2.785078287	11.19645977	162.9714966	3.661547184	209.1550903	19.81990814	4.754388809	23.66583824	120.4074707	5.168578148
pas13	148.541275	0.466246501	3.827929497	11.53182554	10.43535042	1.764050484	3.514171004	0	0	0	78.07509995	0.457507491	9.31079483	1.031693012	0	1.128381491	13.05195618	0.423089489	0.877756506	0.627695501	0	0.921683013	4.234601974	24.93892193	0	2.702738047	0.856372982	1.542446494	2.005458534	223.9848022	0.645617485	8.019653797	0.776029497	0.111877497	0	19.69528008	11.55879068
pas14	402.5311584	0	2.980297565	7.02589798	53.93468094	3.044898987	0.440624446	0	0	0	231.7172241	0	16.45754433	1.197149873	4.292383194	68.67791748	8.186936378	0	0	16.41248131	0	1.909001231	1.767156363	109.3509979	0	4.695226669	2.111912489	1.881974339	0	353.4259033	1.507451892	14.82619667	4.148382187	0	2.795729399	22.02625275	0.570672095
pas15	388.7975616	0	2.951118946	200.6516724	60.10345459	1.131264031	0.314080238	0	0	0	294.4246979	0	12.83654356	0	23.58604431	13.428792	13.7181592	0	8.0322299	10.60413599	0	0	0	13.02247906	0	7.310993671	1.004036158	0.852761984	0	288.0770111	6.486583233	3.24403882	4.334687948	0.164573327	6.074855804	16.96544647	0
pas16	240.1119919	5.408262253	2.422840387	61.15793395	4.793331742	2.586507678	0.912947193	0	1.1375947	0.873639584	174.3414612	0.878275193	10.60790443	1.247727633	8.247430086	1.301149666	15.1598897	1.279705882	16.61320877	8.611595631	1.821128145	0.895932436	11.89241838	88.26289558	0	4.203073382	0.420998365	2.6790995	9.63403368	107.3670387	2.889358044	19.34723091	4.584621638	0.234396413	21.52015114	23.06721354	3.404962778
pas17	311.387558	0	1.557764173	27.6183424	11.53818512	1.91413945	0.925094306	0.188303918	0.359043017	1.155400336	194.1404419	0	11.1828022	1.124771535	1.488835454	65.75852966	10.01097107	0.994647563	2.986248851	23.24174213	0	0.302424937	0.738576144	29.69773293	0.272709578	5.915206671	2.172732711	3.090007305	0.059618104	297.044693	3.593871593	4.858412504	2.691458344	1.696968257	1.273690462	15.27787161	0
pas18	280.0602112	0	2.669183969	20.94535637	15.28529644	1.725286245	0.413966298	0	0	0	145.6888275	0.005646881	15.90425682	3.066251755	1.092077732	67.67620087	7.842392445	0.399643451	2.769175053	23.62154198	0	1.114880443	1.836242318	50.05237961	1.182433248	4.508726597	2.510922909	2.196124792	0	327.8276978	3.397551298	19.46213341	5.256645679	2.892345667	3.972946167	32.33459091	0
pas19	162.9516678	0	1.386395931	21.06165791	10.56707191	0	0	0	0.08675766	0	90.74670792	0	10.83857918	0.291672647	12.96212626	0	1.038070202	0	3.760678291	10.52031994	1.27331841	11.5601294	0.457083315	49.33890343	2.115492463	2.962661743	2.518146157	0.341778815	0	117.7503471	1.527987182	10.73545647	8.358130693	0.772557437	1.174510658	6.39997983	0
pas20	230.2015991	0	2.311440349	32.72585487	14.92038727	1.517578363	0	0	0	0	72.83399582	0	12.62590933	2.577018738	3.173978209	134.537735	10.79499578	0	3.467007995	19.68990135	0	0.438716069	1.189195096	19.49447441	0	2.082742691	2.789413452	1.765304863	1.443983138	205.019928	2.814373732	7.69124651	1.376002252	1.822763562	2.704864025	44.74462318	2.863686204
pas21	341.6123657	0	1.477825403	17.59335899	13.50175095	1.726485968	0.394043207	0	0	0.849055171	178.7315216	0	13.83864212	2.836514235	4.503426075	123.4036484	11.42981815	0.756171525	2.408176661	36.27475739	0.145923853	1.195990801	2.794938326	114.6285706	0.568647563	5.478079319	1.677669764	1.827234864	0	264.4909363	3.77278614	8.568660736	2.605886936	2.401573896	8.637701035	36.44987106	0.287991285
pas22	298.3524475	0.175570816	4.634778023	33.8477478	16.90633965	1.439599395	0.957564235	0	0	0	191.1203003	0	14.26494694	0.735960245	2.626610518	41.27053833	13.25849533	0.66534549	5.799345493	22.16736221	0	0	0.572277129	29.3483181	0.892130673	5.327456474	2.283123493	1.774008989	0	324.5860901	2.45110631	7.399615288	2.590953588	0.91984731	1.19717741	26.07252312	0.536648333
pas23	327.0531464	0	2.674129009	17.81678009	38.11739922	2.213466048	0.143753327	0	0	0	118.4879494	0.066717418	10.76900434	2.888361692	13.78746653	93.67298508	10.17020321	0.607076079	1.964400709	20.21431732	0.169109713	4.401135445	2.691663861	70.81873322	0.635907888	3.59151125	2.581849694	2.247383475	0	223.7294312	3.238179088	22.91719627	4.247089386	2.822397947	13.71183825	33.81512833	0.46409294
pas24	179.4710846	1.296378553	1.289952695	52.91684532	17.81226444	2.026343703	0	0	0	0	99.27389145	0.697582811	10.93675089	1.177586079	5.536279678	95.76430511	6.633010864	0.136431143	5.659101009	11.84123611	0	0.020774734	3.205811381	10.21730709	0.869891733	2.578799605	1.404878557	1.917703927	2.091147721	135.242569	3.14637208	16.5010376	3.19478488	1.772615612	5.91597271	14.57626581	0.870214224
pas25	257.9086304	0	0.672598124	76.58034515	16.48187828	2.106626272	0	0	0	0	66.29715729	0	12.61749744	0.88752079	4.993028164	76.63957214	9.144826889	0.105253823	4.602876186	20.27331161	0	0	0.534464955	7.47492218	0	2.739138126	1.237405658	5.019808292	2.801156759	217.5726624	3.308530569	11.42809391	4.444767952	2.277262926	2.317737103	42.60171509	2.780407429
pas26	320.192627	0	0	15.23974228	8.200167656	0.777695298	0.498985529	0	0	0	281.152771	0	12.14056778	0	1.480862379	84.40395355	12.77430248	0	1.447739363	25.94750214	0	0.451874703	0.582407892	86.53539276	0.92496568	8.036579132	1.500347733	2.173597336	0	372.3877563	2.86713028	6.391557693	1.327534676	0	3.805951595	19.98107719	0.051703215
pas27	149.7112808	0.826590478	1.578730524	12.9044857	8.429650307	0.90664801	0.159982003	0	1.702538013	0	61.92852402	0.634472013	8.551806927	0.642160505	2.192918539	38.04593277	3.173183918	0.254073001	0.957305491	14.83319044	0.996371031	2.380928516	1.344194949	27.08971596	0.532377511	3.172966003	2.565726519	3.093372583	0.830189019	126.7056541	1.836879015	7.191580772	3.879112959	3.626326561	3.743634462	18.38336182	0.641691983
pas28	181.5728912	0	4.376260757	12.79213619	9.282773018	1.755354524	0	0	0	0	71.84905243	0	13.00521374	1.14422822	2.561680079	7.094416142	11.86797333	0	0.476227671	6.811691284	0	7.506796837	0	13.36004925	0	2.993846655	0.977606773	0.79519099	2.640150547	209.081543	1.961672425	60.25383377	8.518779755	0.846112072	89.11139679	31.55932236	1.865661383
pas29	158.1085052	0	0.25474146	12.28129005	14.45689869	0	0	0	0	0.790418923	57.37081528	0.459748298	10.35445499	1.058890939	1.595238447	66.52046967	3.014431715	0	0	18.30401611	0	1.100551844	3.561524391	73.90122986	0	1.787548184	1.762518406	4.087911129	0.116380319	186.1094666	5.406602859	15.33816051	5.055861473	0.700330198	0.958941281	16.60688972	1.155784249
pas30	202.4715424	0	1.758493602	7.73434782	6.152235985	2.029154539	0	0	0	0	114.8096046	1.949199915	14.81175756	1.687003255	3.994292617	70.49658966	9.172030926	0	0.234602846	18.57146168	0.251014262	0.994488806	1.923195183	29.77889347	0	3.041855097	1.699689031	1.288576901	0.963733256	232.0412979	2.359860301	5.910881996	4.069575191	1.619430661	1.158897519	20.44121742	0.295374125
pas31	191.1124878	0	0.415226102	2.611026049	8.504033089	0	0	0	0	2.759052515	92.21505737	3.288036823	11.67798042	1.696560025	0.318522245	3.82958293	7.463631153	0.338207662	0.359288335	28.66253281	0.386500567	16.81021881	1.721253514	98.74861908	1.987609386	3.715277433	0	0	3.39465785	110.677948	2.268641949	41.79216003	2.902500629	2.934604168	24.34091759	33.38952637	0.831811666
pas32	168.7715225	0	4.946535349	247.6665268	34.88427925	3.072165966	0.473727018	0	0	0	84.06106949	0.054381941	13.90559101	2.078480303	7.82352376	1.569459975	21.7763319	0.33576943	6.849760294	5.037218809	0	11.11503696	1.958129466	2.431415081	1.010281146	2.460394979	1.201960564	1.079284549	0	203.6146011	2.984318614	52.81305122	5.707247972	1.683151186	43.979002	46.00548744	1.625849605
pas33	159.8885193	1.37448442	1.468470573	35.40401649	7.044890881	0.14751485	0	0	0	0.060647313	77.49918365	0	11.64981508	1.194776714	0.332785338	56.73443031	5.489651442	0	2.698204756	12.58536577	0	0	2.770866036	16.81262398	0	1.163718104	1.972911835	0.640052199	1.053410292	146.4163971	1.517702401	18.41852474	3.513362765	2.737741709	2.596360683	21.11868858	0
pas34	202.1612244	0.935485125	1.472949743	8.27520752	30.34017181	4.025666714	0	0	0	1.416312099	126.0749512	7.944597721	12.0833683	9.313832283	1.882607579	42.0306282	20.18896294	0.683474958	14.40176201	16.19939995	1.566982269	5.291153908	2.86811471	25.12115288	0.78133893	3.265294075	1.618098736	1.626937032	13.22334862	335.0584412	2.925251961	12.94056416	3.278529167	1.054781199	2.957562923	29.28293037	2.769385576
pas35	218.8166962	0	0.122884192	3.985840797	32.43899536	0.253358334	0	0	0	0	218.1296997	0	13.21917152	0	0	19.18453598	10.34020901	0	0.717957795	13.62996101	0	0	0.328274339	72.25920105	0	6.559841156	4.404839039	1.888374448	0	352.1618958	1.258022428	3.871788502	5.259875298	0.007124881	0	14.12793732	0.949251771
pas50	394.6831665	1.762257338	5.145433903	10.35428858	12.90943241	0.014734382	0.703665078	0	1.718697667	0.90890941	97.30279541	0.108735971	10.34546661	1.34442991	4.845088482	92.25000763	82.67737961	5.034007788	3.098718882	32.10993671	0.743913144	1.464143097	6.892735004	32.69366741	0.548660144	1.243130207	0.960180253	9.560326815	2.049715877	154.8607254	2.381185293	0.919909835	4.192976832	2.224735022	0.980544031	71.36806488	0
pas51	438.1817932	13.22839737	14.97801208	20.86286926	16.92035103	2.568457842	7.731739521	2.004787445	5.372014999	0.844111085	110.5147781	1.574308395	12.89212322	6.668877602	6.479716301	101.1592102	90.40634918	4.280475616	3.695126772	29.15506554	1.984437943	4.271816254	6.291285992	44.71564865	4.556603432	3.498361349	4.691817284	110.1602249	2.601460934	145.324707	1.308513522	5.1650033	19.93742943	2.46542573	2.709449291	37.23224258	0
pas36	172.8342896	0	3.293415785	80.29789734	9.826425552	1.175516009	0	0	0	0	80.61736298	0.0111702	13.58950043	3.33029294	3.051907539	76.77399445	5.277354717	0.111625545	3.738404274	18.42542076	0	1.041040778	0.562442839	6.311470985	0.921532214	2.418171167	0.636390507	1.448165536	0	247.5221252	3.124284029	35.25601196	3.430126429	1.809771419	2.94301343	18.61281204	0.278208017
pas37	183.2316589	0	1.116556287	16.94005203	10.16370201	1.889324307	0	0	0	0.02931501	114.1341095	0	12.01706409	0.690623105	0	52.0800705	6.818269253	0	1.434264064	16.72149467	0	0.20568946	2.643333197	42.49478531	0.280514359	3.098157644	1.080410719	1.932042599	0.33771649	213.8129425	2.737473488	14.10467529	1.647723317	1.527911663	1.267146945	23.18193245	0.570789397
pas52	431.3131256	7.767211914	8.634132862	31.2527895	26.64636326	1.775589347	4.765205383	1.228283584	3.043323874	1.186437488	185.6237259	0.516681701	17.702672	3.763481021	3.01942873	118.3694153	109.1365433	4.193624735	4.655338764	35.50428391	1.479940593	2.418765545	3.893109798	60.26685905	0.848552555	5.73948884	2.144156814	8.487584591	0.974791825	197.9243546	2.06820333	4.060784578	9.69305563	1.202927411	4.040451765	65.63422394	0
pas38	314.6437378	4.066460133	4.467135906	20.32709885	21.85102844	0.756191254	0.755394638	0	0	0	142.9384613	0	12.40127945	0.821636856	9.789907455	79.13277435	0.613181889	0	4.295561314	16.67045212	0	1.01058495	4.130132198	60.52519989	0.786216199	3.762597799	2.022688866	2.755653143	0.686594844	181.0929565	3.344338894	14.87776661	6.839157581	1.707858801	0.976629555	11.30035114	0.032527365
pas39	192.6533051	0	1.32249558	34.15723801	6.233028889	0	0	0	0	0	110.7999573	0	7.879024029	2.088088036	0	69.87641144	6.657692432	0.179908782	1.057392955	20.19742584	0	0	0.580634117	31.05734062	0	4.27960062	0	0.270833015	0	177.6523438	0	4.555284977	0	2.130858898	0	11.98610973	0
pas40	216.1769409	2.023600787	1.201498538	17.7518518	86.22078276	3.88872242	0.320082802	0	0.72697866	0.450003266	109.7858772	3.370050073	12.19311476	10.14238501	6.45968771	104.206543	14.50152016	0.474637538	1.251030684	12.74702549	0	4.988474846	0	20.04866505	0	3.608547211	3.075124025	3.704686359	2.318692267	191.3024521	3.96761775	7.013767958	8.848468781	0	25.54351139	18.3580761	7.759810805
pas41	301.1128235	0.91195181	3.018000722	304.5352936	28.76247215	2.984835625	1.454582751	0	0	0.924300194	185.5189514	0	8.625804901	0	2.287166595	70.71354294	28.77595806	0.392803639	7.40457654	22.53103733	0	0.183744207	1.852246642	6.938784599	0	7.231204033	2.337925792	2.244600296	1.263203919	191.9480057	3.33682549	14.53111982	1.441933453	1.669329047	4.386534929	33.32348633	1.003540665
pas42	132.994133	0	0	7.57114625	4.858365774	0	0	0	0	0.072221883	88.95691681	0	7.537993193	0	0	37.39747238	11.0299859	0	0.568059422	10.88271475	0	0	0	21.68422604	0	0.238792583	0	0.349972144	0	78.76084137	0	4.013795018	0.90420568	0.72502394	1.699970424	15.09684944	0
pas43	446.8013916	0	5.306359291	2.934242249	26.99099731	2.13305068	0.169417232	0	0.177511305	0	166.8852081	1.012456298	6.958427429	0	0	73.48677063	16.90901375	1.683749914	3.42192173	24.40220642	3.933550835	3.160195112	0.515120447	35.67112732	0	8.402126312	1.253138781	1.865432501	3.478424311	274.7553101	2.709728718	3.323438168	3.056110144	2.793502092	1.624911189	2.299490452	2.024220943
pas44	222.6716919	0	4.639224052	26.09877586	24.17609978	2.485446215	0	0	0	0	152.1578217	0	9.637960434	0.907363415	4.134418011	70.02259064	13.05262184	0	1.922122359	12.95118618	0	0	0.059896257	53.28214264	1.205528021	5.789947987	0	1.777191401	0.130676612	183.1225433	1.722220421	6.40032053	2.905563354	0.635944605	6.720219612	32.67800903	0.93201983
pas45	124.6652679	0	1.58419776	13.55089569	28.92390251	0	0	0	0	0	46.79172134	0	8.636627197	0	2.432244539	34.32172394	5.170277119	2.777570009	3.049113989	2.626246691	0	0	0	10.81667519	0	7.029188156	0	4.378550053	0	63.89713287	0.36479491	1.029091358	0	0	0	4.458429813	0
pas46	235.0353317	0.777988315	1.195941389	8.065350533	39.1592083	1.257522225	0	0	0	0	107.9349251	0.565375596	13.45568371	1.647777379	16.7861166	77.64360046	6.227720022	0.395250887	2.365264654	21.52604675	0.14659702	0.978049397	4.369071722	85.840168	0	3.019996285	0.883232296	0.966868073	3.395843267	175.9646072	2.90222311	19.77309418	5.365484715	0.939829528	16.19467354	12.58173132	0.27165772
pas47	200.4358521	2.188389778	3.767149687	91.11185455	53.58847427	3.184832096	0.589250624	0	0	0	108.5144272	0	8.63916111	0.143088847	10.78249359	42.85735321	15.47543049	0.824939609	4.409366608	5.074086666	0	0.52341944	2.091516018	6.90289402	0.072017014	4.227403164	6.247897148	3.883091688	0.517226875	243.1830902	1.186026454	11.38833046	6.110444546	0.706126094	2.50345397	13.26250839	1.119279742
pas48	237.1350021	4.566914558	3.161481023	6.069125652	9.333313465	3.715828896	0.311197639	0	0.799724013	1.440765083	197.9023056	10.57733345	11.56001377	2.007864356	1.991113186	47.45034599	18.0236311	3.149980307	1.385895133	34.509758	2.068040252	6.442716599	6.315794468	139.4776382	2.382429004	6.122628212	5.04173851	2.90493834	4.307256222	211.9232712	4.063850641	8.915143967	7.321944475	1.247288048	2.284506202	55.34302902	2.933087945
pas49	232.9824066	0	0	18.56184483	26.93476105	0	0.963864982	0	0	0	211.4593582	0	14.72549152	0	0.322536424	48.42926025	21.68472862	0	1.248490393	34.32370758	0	0	1.565039337	59.44317245	0	5.830052853	0.53936018	1.261486471	0	321.4958038	1.641114354	1.422546387	0.257595286	2.652801871	8.557286739	39.44423294	0
ctr10	350.7531586	4.07004571	5.954748392	19.34760857	4.00742197	2.179867029	4.465375662	0	5.610459328	0	108.3035851	3.328266144	10.02773285	3.173409462	0	28.77221489	10.0512104	2.440353751	2.271118522	24.39998817	0.391362265	4.558051586	3.705888152	97.13924026	0	5.759454727	1.480383158	7.033972979	1.866639614	434.4290466	1.685051084	21.047575	2.043011785	0.919235408	1.415804446	32.10983086	2.389900923
ctr11	569.3543701	2.649846196	3.32583797	15.18501568	5.095473528	0	1.502285421	0	3.014232874	0	130.8726883	0.430410698	25.75839424	3.080414534	1.424829781	13.86139107	35.91713715	1.490487516	1.750288129	2.186865568	0.429673538	2.465538263	3.741432309	65.18530273	0	3.84388566	1.959304571	2.155998826	2.152063966	447.1750488	2.743709803	2.120396852	1.030476511	0.024745236	4.792073011	39.93449974	0.938480407
ctr2	246.3416748	0.027218621	5.49525404	14.75323772	1.755625844	2.097197056	2.908025742	0	1.761672378	0	76.29696655	4.568087101	16.56481361	6.175780773	0.595216334	25.8608036	13.53712559	1.31279707	9.802694321	4.573852062	1.860079527	5.219005108	3.100739002	60.19006348	0.450705916	4.015882969	2.139940262	5.292967796	8.569771767	453.1470032	3.593738794	8.858827591	2.512827396	1.119728446	1.194145083	26.04975128	11.21952057
ctr3	262.3278198	1.606001496	3.763715506	18.06037521	1.851783395	0.955515146	4.635002613	0	1.147718072	0	124.0205383	3.180833578	18.343153	3.355067968	0.588014305	0.671457171	6.656160355	0.428134292	7.475881577	3.351396799	1.273388267	3.683561325	3.154022694	87.07814789	0.404757321	5.364762306	2.451957226	6.364116192	5.177042961	470.9572449	2.765679598	4.851251602	3.695033789	0.774603188	0.995711029	15.89271259	16.68767548
ctr4	123.1594238	2.101655483	3.692228556	12.34897995	1.297230363	1.303666115	1.958521366	0	15.63743973	0	21.29660797	2.082604408	11.9668045	3.326176882	0	13.97211838	12.21252537	1.930597067	1.165377378	2.997121811	1.559853673	3.780023813	3.184821606	41.91191864	0.264784724	1.849379897	1.712522745	2.663853884	3.704232454	276.6686096	1.671724916	25.93654251	1.246665001	0.353458911	0	39.83755493	8.243893623
ctr5new	252.3151169	2.672810793	4.486278534	20.50651932	3.063294053	1.295392513	3.122419357	0	5.047982931	0	81.86154175	2.39791894	13.68676138	3.068584204	0	30.06802654	10.79787588	2.020924926	2.345454693	16.42745113	1.124718726	6.332340479	3.444444418	71.45503998	0	4.74174881	1.389121175	9.731203556	0	463.2328796	2.363234162	25.86571693	1.996838093	0.694701523	0.839586526	30.79784393	3.240325928
ctr5old	220.8060684	6.147083044	10.51414108	19.0906868	1.982922673	2.540698647	1.037224889	0	3.927389622	0	83.03691101	7.461656094	17.14372253	5.931526423	0	22.65251637	12.65443945	7.535534859	3.726022959	4.914539099	4.363714933	4.352781296	8.305383682	60.0767498	0.511956245	5.365689754	2.301077247	13.3943367	0	439.9486237	3.32496202	65.80144882	2.958218217	5.064771652	0.446398184	63.77985764	8.874462128
ctr6	222.9543991	0	0.542320013	16.06659794	2.219672322	0	0.299150772	0	0.101796672	0	72.48917389	0	10.9737463	0	0	32.78401756	9.608510017	0	0	16.23522758	0	0.06810119	0.177414417	81.84604263	0	3.04641211	0	6.480639935	0.032612734	416.0138092	1.760784388	1.467038512	0.371710971	0	1.102140844	27.41628647	1.184998274
ctr7	425.4060669	95.61999512	7.545942783	24.86912346	8.622899055	0.738161385	5.736997604	0	13.79187679	0	229.0743103	11.54741192	16.2338562	0	0	45.08454895	19.86092377	7.275761604	9.793013573	31.06611443	5.018780708	12.56094933	12.03449726	126.5046387	0	9.334108353	1.102262616	15.83748436	14.51665211	576.5924072	0	68.45806122	12.23060703	3.879289865	3.419989586	41.38097763	4.537234306
ctr8	350.7531586	4.07004571	5.954748392	19.34760857	4.00742197	2.179867029	4.465375662	0	5.610459328	0	108.3035851	3.328266144	10.02773285	3.173409462	0	28.77221489	10.0512104	2.440353751	2.271118522	24.39998817	0.391362265	4.558051586	3.705888152	97.13924026	0	5.759454727	1.480383158	7.033972979	1.866639614	434.4290466	1.685051084	21.047575	2.043011785	0.919235408	1.415804446	32.10983086	2.389900923
ctr9	350.7531586	4.07004571	5.954748392	19.34760857	4.00742197	2.179867029	4.465375662	0	5.610459328	0	108.3035851	3.328266144	10.02773285	3.173409462	0	28.77221489	10.0512104	2.440353751	2.271118522	24.39998817	0.391362265	4.558051586	3.705888152	97.13924026	0	5.759454727	1.480383158	7.033972979	1.866639614	434.4290466	1.685051084	21.047575	2.043011785	0.919235408	1.415804446	32.10983086	2.389900923
