ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	361.331604	0.137746349	1.760743618	2.489485741	75.00406647	3.761640549	0.356648028	11.02022552	0.450424165	1.018633962	84.99180603	0	0	7.564441204	25.8282795	100.3809128	4.353000164	1.116516709	0.442265242	49.85169983	3.069981813	3.436757803	9.261829376	291.4403687	5.771677017	3.330359697	9.730077744	1.477879763	0	201.2229614	3.443530321	5.682086945	6.806644917	87.19942474	245.9187469	73.0267868	0.68397361
pas2	318.2834778	7.448809147	0.907623589	1.919138193	81.05874634	3.817298412	0.632659197	12.60788631	0.772209585	1.503018498	115.8903198	2.454977751	0	4.187885761	19.37358665	72.36935425	14.2477293	0	1.986208916	40.39788437	0.888111115	2.137666464	10.64096451	213.9038391	2.001731873	3.07502389	11.91578865	0.971013367	2.952952862	217.441452	2.041506052	9.39540863	6.441698551	96.11431885	186.4491272	80.89435577	2.00833869
pas3	343.348175	1.521685839	2.247732401	4.33662653	137.9090729	1.673811078	0.886956871	8.01860714	0.903495908	1.160010219	50.84515381	0	0	2.731902361	45.48522186	87.29663849	1.556887269	0.517373025	3.738995075	64.92447662	1.320142627	3.138347864	7.683390617	296.5787048	5.86017704	3.604712725	14.42446423	1.600721598	0.471062392	216.7402954	4.965752602	4.17971611	10.95883846	204.0374756	199.2352448	19.65717125	0
pas4	241.579895	0	1.400607228	5.912572384	108.6309967	3.78552413	0.451227576	10.97179031	0	6.880757809	112.4181137	0	0	3.31372571	27.2239399	117.4340057	3.506598949	0.262979746	1.042067289	45.34584808	1.024671197	2.1228652	6.648460388	193.9231873	2.166863203	3.491234303	5.133952141	1.304768682	1.642444491	172.2935333	3.539039373	4.067158699	5.234057903	100.028038	133.9992065	38.74562073	0.230198056
pas5	233.8550644	0	1.137607992	3.638150096	86.17818451	2.078255296	0.303278789	10.90126276	0	0.780795813	40.69860649	0	0	4.249510288	28.30334091	65.33330154	2.55031383	0.514494598	0.459083065	48.04669952	1.696532905	3.669945836	8.706751823	247.9929123	4.879662275	1.428853571	7.825550556	1.579264045	0.825273424	131.082901	4.235519171	6.629667997	5.168869257	51.14087677	241.7623749	36.64886665	0.321840748
pas6	453.3465271	0	1.821516156	0	30.01070118	3.000668526	0.14236448	13.83440828	0	0	143.3780441	0.688572392	0	5.685032845	24.42103672	48.72993851	12.3048296	0	0.504785195	43.00379944	1.031368881	3.971451283	13.55353498	266.4037933	2.194139481	4.04400444	3.62991333	1.646166801	1.802304387	300.9959717	2.076514661	8.784747601	7.357129574	71.87303925	159.8382721	55.80717087	1.700870395
pas7	354.6065063	0.086675569	1.632438958	3.431364655	81.38167953	1.820172191	0.751160949	8.676084995	0	1.644139647	112.5626373	0	0	1.390703976	29.36595821	114.4180183	2.576994896	0.019126552	1.405182362	43.4152565	0.335052848	1.709496737	8.747251034	206.7518387	3.585268259	4.12273097	5.982881546	0.65435037	1.010140389	170.1892471	3.406264901	6.47632432	4.777846098	187.8760834	140.0036621	17.0775795	0.008265108
pas8	227.5772247	0	0	0	50.54802895	0	0.650052786	9.469209194	0.614524871	0.556105494	145.1764183	0	0	1.856071621	26.37953568	0	2.495707005	0	0	21.61555672	0	1.168050528	4.170600295	146.8299942	2.242331982	5.734771729	2.014166892	0	3.093995452	145.8846321	1.238460422	2.904236674	2.030623078	59.67626572	196.8210907	12.13484406	0
pas9	498.0190735	11.17461109	1.009849131	0	92.95424271	1.758958399	0	14.92398977	0	0	220.6417313	0	0	0.772772193	30.48887062	17.09914684	8.637613773	0.581318855	4.13700676	49.41316223	1.318330765	1.687263191	7.925938129	307.7801208	0	7.314954996	14.66058874	0.871422738	0	223.5563507	1.53231281	6.508435249	25.20918179	332.0297546	189.1477051	33.22865486	0.78360644
pas10	284.8464508	0	0.038083099	0.790410876	43.8237915	3.147174239	0.170280874	3.861831903	0	0.233428925	143.4587936	2.50479126	0	2.633442879	27.49922943	0	5.084015846	1.302244544	2.008655488	44.41041946	1.335641265	5.769091606	7.442116976	222.2232742	6.029889822	1.985851407	4.398301959	1.214230657	0	132.6241798	1.822305977	7.690204859	14.66506863	270.9886475	140.2892914	24.75478458	0.198999083
