ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	240.5732269	0	1.206093192	7.520830631	12.87174511	1.875495791	0	7.04370451	0	0	98.78517914	0	0	2.608769894	1.142427087	52.45384979	16.13703728	0.942486882	1.055098653	20.37440109	0	0.963550091	2.62334609	76.98142242	2.071814299	3.24245882	2.844779253	4.993143559	0	180.1562805	1.774265289	3.140808821	1.798734188	34.6893158	2.457953215	25.10131645	0.232958138
pas2	226.477417	1.556198478	1.479509592	7.452080727	9.85244751	2.104170084	0	6.155738831	0	0	87.34723663	0.320897698	0	1.751281381	0.310964644	34.89912033	27.38744354	0.526515484	1.19318223	17.39698982	0	0.527900875	4.042317867	40.22861481	0	2.96068573	2.381726503	3.113504171	1.40193522	176.6277618	1.028274775	7.321922779	0.917111397	39.92025375	1.466172934	23.67463875	1.544757009
pas3	218.7029266	0.425518766	1.523689151	5.152483702	17.72937107	0.366768643	0	4.60093379	0.311166391	1.125604212	69.74745178	0	0	1.409965754	9.454118252	65.6986351	3.370344639	0	2.070153475	35.1103878	0	1.576054871	3.291369319	147.5179291	2.803392649	3.134200811	3.874949694	2.949460149	0.307814047	160.0396423	2.63994348	5.048073292	5.009806633	143.293541	9.027593136	10.72817802	0
pas4	169.8048248	0	0.866621971	10.03454971	15.27335835	1.330993414	0	6.493707657	0	2.815422535	83.0619812	0	0	1.900249004	0	51.62150955	4.721961975	0	1.377940178	28.09276009	0	0.800049961	3.27474308	74.95688629	0.609187722	2.293184757	1.915853858	0.686554134	0.813160717	125.9846954	1.132953286	4.153882504	1.991491079	80.50546265	1.162427783	20.84475136	0
pas5	150.4383469	0	0.461176977	12.63880682	12.24986029	0.726245761	0	9.053785801	0	0.555752128	34.13439369	0	0	2.593783498	0	36.53692818	5.241481304	0.171139672	0.692368388	23.02126217	0	1.377987087	2.465197086	21.48429775	2.314003229	0.981669545	3.604139924	1.807443738	0.35319224	149.6651001	2.725133181	5.68186307	2.847107649	42.45459175	1.154390812	21.09826374	0.186972946
pas6	301.1030731	0.114961531	0.612321973	2.205319047	13.44358253	1.823588848	0	8.54384613	0	0	118.147171	0.104974315	0	3.536543131	0	22.82790947	17.43787384	0	0.029953606	26.20941448	0	1.423724115	7.516953468	91.19137955	0.345938534	3.439976454	1.695677161	1.109906852	2.159436822	225.8140182	1.094120145	8.817019939	2.185449719	53.76929665	1.414233387	29.38598061	1.521952033
pas7	233.7828751	0.001214538	1.135778427	7.143477678	10.42832041	1.030938148	0	6.645142317	0	2.768027902	93.98131943	0	0	0.811727941	0	63.18888855	4.118068218	0	1.951876462	27.71221066	0	0.513974696	3.341885328	69.75334167	0.908979297	2.861121416	3.573298931	0.843123019	0.647032976	152.7741852	1.52709955	5.835465908	2.53965795	154.8232346	2.831296563	10.69208384	0
pas8	179.8561401	0	0	6.149590492	7.032049179	0	0	3.696036339	0	0	96.28185272	0	0	0.223898202	0	0	5.767407417	0	0.056347352	15.21889496	0	0	0	16.71489906	0.138577655	2.204210043	1.152075291	0.517705679	0	132.8108215	0	1.644963264	0.350436747	46.75429916	0.285881341	6.444256783	0
pas9	298.8882904	8.280847073	1.611929357	0	35.39424706	0	0	6.530622959	0	0	203.909256	0	0	0	4.970079184	16.23784733	15.68276644	0.513418734	1.284537375	19.08566761	0	0.990493804	2.569435239	143.0767288	0	6.219084978	11.44153833	15.52619934	0	149.1154556	0	3.461883783	8.146129131	11.13542557	18.18141747	25.66552544	0
pas10	180.3531876	0	0.686351031	8.278668404	8.010859489	0.820613682	0	4.670447111	0	2.045234561	123.6348495	0.183864452	0	2.03555584	0.414059401	0	11.63498306	0	2.939960837	24.44710732	0	1.710655034	1.653516889	53.99989319	0.231718563	3.695309162	3.574337363	1.053033352	1.320043206	128.9190598	0.91762951	8.034094334	4.879668236	208.7038803	5.101195574	26.74047756	0
