ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	271.2886047	0	1.443415761	3.272495508	36.8780899	3.220748425	0	8.515639305	1.192595124	72.66468048	123.4817963	0	0	5.695270061	23.93597984	160.9938507	9.383947372	1.403013229	0.818459094	46.69208527	0.820311069	22.74393272	6.790883541	182.821228	3.881625175	3.890339375	5.149556637	0.916666925	0	158.617218	3.777563334	2.498750925	8.330628395	69.36060333	15.7865591	56.81851578	0.384640902
pas2	226.7004395	1.734159112	0.265022166	3.279171228	50.97781563	4.635799527	1.754023969	7.245905161	0.552414827	94.74970245	130.5681992	2.841314435	0.502557293	3.783130527	18.33397293	156.3164749	7.969853401	1.344762415	1.249999642	29.81509304	1.586806655	15.75497866	7.871742725	119.0935593	3.299292326	6.936782837	20.1503849	0.907436103	2.03397131	166.4526215	3.254039526	6.446250677	7.051343441	87.04637146	25.54164505	75.20040512	1.260487765
pas3	224.3748779	0.8314538	2.237045288	3.524787426	44.66158295	0.838714838	0.341718137	9.471000671	2.31865263	99.46656036	71.66712952	0	0.016482089	3.072076797	47.60609818	163.1582489	3.824656248	0.451247931	1.931099892	67.93522644	1.230485439	14.68640327	5.508275509	204.3487244	4.713803768	3.808608532	12.62543583	1.858120084	0.571022153	203.0490417	4.29803896	3.358443499	11.83425236	181.3959808	13.53691673	17.94693375	0.008656465
pas4	194.2913208	0	1.18569684	4.529883862	37.40777588	2.514228344	0	8.728975296	0.537786543	91.28791809	109.002739	0	0	3.31791091	19.98068237	120.6701279	4.901918411	0.100753665	0.956042945	49.13217163	0.758673787	14.26896381	7.311069965	175.1555176	2.9322927	2.96522665	1.267026663	0.497299075	1.157562017	132.5809326	2.678444862	3.935041666	6.458620548	85.10910797	8.062563896	30.92556	0.257292569
pas5	182.0418777	0	0.965974063	4.324218512	48.06068039	1.95028764	0	12.72181988	0.442380905	76.10708237	71.81715775	0	0	3.708718181	22.11701775	96.19435883	4.607789278	1.054442525	0.472057313	65.13807297	1.438481987	17.5130291	7.657203913	179.915802	5.335566998	1.927594125	5.762118816	1.760434449	1.017001092	153.2547455	4.717506647	5.27587533	7.248644829	55.63885307	14.47798347	47.39000893	0.220728464
pas6	308.0182495	0.215776846	1.649698615	0.357610404	18.62106895	4.469744682	1.405448198	12.61604691	0.76998961	59.2777977	183.0008087	2.096955299	0	4.745584965	21.33944321	79.60905457	22.8283062	0.323351413	1.384178996	47.36709976	1.098782539	15.40792179	10.73824692	144.4616852	1.806249499	4.193647861	1.40661037	1.479111552	3.492363453	263.4832153	2.50731039	10.67968845	9.911571503	61.85086441	7.454514503	40.06967926	2.251630068
pas7	256.4534912	0.629665166	1.565178156	2.71417892	34.6106987	2.439419746	0.200992562	7.88505435	0.665008813	114.9456749	144.6328583	0.039239077	0	2.201559901	18.45672894	133.6765594	5.775236607	0.21602203	1.511759698	42.57727814	0.66925624	13.76286793	6.801972866	147.7765274	2.885326624	3.680448651	1.990429223	0.516349643	1.136977017	141.1787415	2.227669358	4.940188885	4.36347723	166.8868942	8.463046551	22.31055546	0
pas8	164.3055725	0	0.744132578	27.68908197	79.08881187	0.779769003	4.517286539	14.79575491	0	55.72008133	41.36488724	0	0	11.69260359	8.945531964	2.713503361	3.87945962	3.922729015	3.329385966	13.40899563	4.106820822	21.45811987	0	14.09780216	5.05262363	2.23325181	5.670417607	0.850897193	13.1593622	106.591259	0.412101805	9.026055336	0.358816177	90.31850815	0.703452468	24.21703053	30.53981197
pas9	353.7385254	10.05265999	1.067916155	0	37.16471863	0.898640513	0	14.44264793	0.947696626	119.4560089	212.3183899	0.195948213	0	1.156943798	32.10484695	158.035202	12.79615211	1.640163302	4.386940002	68.95240784	1.665861964	37.1071434	6.675784588	208.8637848	0	6.39640522	17.28007889	1.098805308	0	185.8290253	1.783805966	4.876267433	41.50036621	294.4807739	30.83323479	42.24599075	1.174051762
pas10	212.0040817	0	1.17007792	3.647548199	18.90356064	1.831659973	0.500567123	6.752385855	0.775625318	72.17375565	178.3144836	2.368418336	0	5.910055161	18.06774902	0	21.27779388	0.51789026	3.341020584	44.73230171	1.452963054	18.83764744	3.77218163	142.2784348	3.137191534	5.559437513	2.893376946	0.889725447	3.24683094	142.7627869	1.621247709	8.963495255	11.0303998	275.9234314	14.65923738	43.38133621	0
pas11	187.2401123	0	1.447811007	2.168691874	10.38665295	3.731470108	0.269185185	8.217875481	0.894863904	75.61705017	116.772789	2.376682043	0	5.231201172	16.4866848	168.6520538	15.58598804	0.734372497	3.223495245	33.72831345	1.557431221	17.77523994	4.472343445	124.3709488	1.026440024	2.813583612	1.095775127	0.749979615	2.15950489	129.0138855	2.5883255	2.066754341	3.554059505	213.9871979	6.257354736	37.1397438	0
pas12	143.4776306	1.768204927	10.27036905	1.81846267	23.0715065	7.662867069	0	19.3539114	4.142325401	79.41174698	48.60111046	14.97390079	0	14.79138088	10.12839222	9.145227432	16.66861439	4.558631182	3.634287596	34.11792183	16.74960804	117.5696564	13.90300846	92.12032318	2.111300349	6.073282242	10.48728466	1.928283393	14.27580786	127.5344582	5.493571043	232.4112244	24.18245697	95.25546646	31.2117424	212.8386688	5.57004261
pas13	193.312851	2.906425476	2.109094501	0	20.43916035	2.913589478	0.891380489	6.729355097	1.057744533	72.70305634	90.76587296	1.30942148	0.426670507	3.331364989	22.64766979	121.2056503	25.27785206	0.837874979	1.901459038	27.0654335	1.12340796	19.51115894	6.522406578	97.90784073	1.020450532	3.572182417	9.774945259	0.848093003	2.572558999	114.8157578	2.262874007	7.193584442	16.58450413	137.1292648	16.21210098	55.70281219	2.213771939
pas14	366.9594116	0.386739641	1.311921299	0.041622726	32.01474667	3.232117057	0.180121988	12.92612505	2.343513727	179.9490967	195.5360489	0.393346369	0.781088322	4.958066463	38.28184128	157.0781403	16.79096985	1.302785933	5.405988455	61.37801361	1.387980163	30.56441307	7.24984169	227.8484726	2.035597205	6.037802935	8.471551418	1.467965543	0	200.6171646	3.287908316	8.173681259	42.33934975	215.4273148	21.24741268	47.42756271	1.772102118
pas15	301.2727966	0	1.290175915	4.989628315	32.27235794	1.280250192	0.062353335	12.01948357	0.255682379	77.76383209	240.4698029	0	0	0.889047861	20.29293251	211.1895905	14.55716228	0.423332572	1.079983711	53.94498825	0	18.99869537	4.347401619	179.2070313	0.872650325	6.282645702	4.960855484	0	0	174.2709961	2.844599485	1.919085026	6.6582551	245.0185394	11.32861614	49.04225922	0
pas16	221.055069	0.074586175	2.348117113	4.840602398	17.52254486	1.989298701	0.356998593	7.554023266	0.900340676	61.90646744	153.2837677	3.835443497	0	4.060500145	11.99135399	0.026962807	5.819263935	0.59886384	4.958513737	26.37567139	2.572752953	15.7802887	4.15667963	95.05728912	1.077702522	6.261182308	5.147743702	1.846378088	4.0469594	138.8313751	0.840593755	8.795026779	4.775756836	213.6447144	6.903747559	19.58719254	1.023682714
