ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	221.8181763	0	3.94064486	284.2484131	36.02783203	3.48378551	0.861812413	0	0	3.512261152	119.5789986	0	0	3.574393153	0	23.18890285	10.41206026	0.615948826	8.912612915	1.239600182	0	0.121136494	3.944969058	1.878295779	217.2768784	10.00195789	1.888965368	0	0	1.764278293	25.1875906	14.69875479	78.88851547	4.464234829	0	75.75489807	0.453741729
pas2	204.496521	0.722751737	4.015308857	275.1167908	36.25527573	3.953096151	1.220449567	0	0	2.922560215	122.1034622	0.323249191	0	3.212705851	0	25.60464478	24.44176674	0.254808336	8.797072411	0.926007569	0	0.185175523	5.790595055	1.255866885	225.9769287	10.37119865	2.558252573	0	1.557911873	0.728638351	29.88459396	48.45500183	68.09640503	4.611818314	0	72.54953003	2.301661968
pas3	196.053009	1.631567001	5.040749788	450.1901855	29.7420187	2.369464874	1.278445244	0	1.568629384	6.397595167	94.6987648	0.012669648	0	2.792219639	0	31.05957699	6.490981102	0	12.33504391	1.196629941	0	0.044439333	1.131368041	3.865252852	160.9839554	14.89249039	3.253467321	0.076667473	0.200993285	1.49102807	53.0108242	23.70869541	123.9005737	7.53796792	0.380602285	34.22553253	0
pas4	147.9047241	0	3.109358072	240.9333801	22.05561829	2.82553792	0.50791806	0	0	2.692604542	95.40266418	0	0	3.611336946	0	40.2919426	5.149558067	0	7.34757328	1.48673737	0	0	4.206416607	5.212205887	164.0472565	11.01410103	2.628243685	0	1.002905607	2.840656757	31.28920174	22.39504814	76.49081421	5.767398357	0	62.79046249	0.151121631
pas5	132.9555206	0	2.104613543	140.0237732	21.30142403	2.178528547	0	0.016102871	0	1.577756643	54.3834343	0	0	4.495781422	0	26.53172874	4.108210564	0.25709796	3.851736069	2.032860518	0	1.13803041	6.264989376	5.997461796	185.0605316	10.70008183	3.521134377	0.885892212	0.754652798	6.776134014	40.25377655	35.01553726	78.14818573	5.892520905	0	33.9560318	0.399061114
pas6	209.506134	0.277880177	1.761668444	73.13639832	14.98310423	2.893762112	0.275820032	0	0	0	142.6338654	0.306296334	0	3.618477583	0	23.36233807	17.35004234	0	2.173473001	0.282887936	0	0.750006855	7.411596775	2.652375221	228.561615	10.57947969	1.891964793	0	2.153715372	0.756287068	38.8419857	42.15647697	182.7438507	8.69187212	0	52.49207878	1.929480553
pas7	194.5140076	0.214817658	3.340441465	216.78302	19.64862823	2.734412193	0.316927999	0	0	9.095243454	91.56510162	0	0	3.109235525	0	25.04355431	5.44137907	0	7.067286491	0.984039247	0	0	3.825096846	3.75113821	188.6544037	16.29482079	1.760599494	0	0.850633562	1.948681712	22.93805695	29.02496529	43.30776596	4.563881874	0.733782053	23.74890709	0.29814446
pas8	143.8414307	0	2.637260199	186.6915054	17.67666435	0.184014462	0	0	0.134234756	0	88.78689957	0.407152504	0	1.126405239	0	11.90709543	4.957493782	0	10.97390461	0	0	1.715245664	0	0	158.1536865	4.868794203	0	0	1.210545123	1.101731062	21.30703068	14.33607483	148.2687607	4.434336424	0	10.72040033	1.831513345
pas9	222.2811584	6.102453709	5.9626894	526.5613403	29.88838768	2.310720444	0.809447706	0	0.295152932	2.834104538	198.0334015	0	0	2.29551053	0	26.23003197	18.40442467	0.395764112	19.14783096	0.860893309	0	0	0	1.522230625	150.9594116	24.14138603	5.504877567	0	0	0	38.80824661	17.26950073	81.89450836	4.60286665	0	55.93637848	0
pas10	161.7880554	0	3.710301161	244.9537354	7.520232677	1.83651185	0.585053265	0	0.649624348	0.555529773	84.25579834	4.511936665	0	3.801886559	0	12.19419956	10.49656487	0.248519793	11.28675461	0.779737115	0.100876577	5.566834927	2.531295061	1.424256206	108.2447052	4.932450771	7.056222439	1.032705188	3.853326082	1.957748532	35.63420486	28.09981346	147.3095551	8.328110695	0.647906721	34.35664749	1.418229818
pas11	160.8417358	0	8.233670235	611.8535767	24.5495224	4.751307011	1.599299669	0	0.77728188	4.574742794	116.3295364	2.180240631	0	4.561749935	0	35.71336746	13.56895161	0.98011452	20.02952385	1.626339197	0	1.759411335	4.459629059	3.159651518	154.343689	18.88353348	1.697295547	0.123504683	3.535834312	1.841535091	25.51864243	18.16044807	83.37169647	5.749754429	0.006911572	58.89099121	0
pas12	90.52973938	0	9.843782902	141.7880859	18.47055054	8.506940842	0.038093228	0.778364122	2.927038074	0.189555265	41.83950806	15.02128839	0	15.61488056	0	12.27214193	15.33089447	3.934737444	6.394130707	0	13.56959677	43.7273407	14.0221386	5.007647514	45.5793705	10.12490511	3.510665059	0.860234231	15.53649998	4.079253435	25.51338673	310.5837402	95.1725502	15.05848265	21.9508791	191.927269	5.76284647
pas13	140.873291	0.804732502	5.671513081	406.3461456	25.36077881	3.436874986	1.144581974	0	0.342602	0.90833202	90.54559326	0.017766001	0	2.637405038	0	28.28334332	23.8537159	0.619508505	11.6429944	0.932890028	0	0	3.944379449	0.0904245	142.1815491	9.859424591	2.749873519	0	2.000536442	0.296838507	25.64009285	79.4372673	61.16882896	4.017630577	0	50.75023079	2.239300609
pas14	243.7508011	0	5.434081078	419.8184967	40.52683067	3.926041842	0.886226684	0	0.216954075	3.879711509	182.1678696	0.721776009	0	4.597025156	0	29.45184517	15.8995347	0.210027568	12.69561529	1.210083544	0	2.072999835	1.430337131	0.848167449	185.7248535	22.55679321	1.920026302	0	0	0.617533445	34.61978149	44.33900261	60.06782722	4.421166897	0.411658823	76.41178513	1.205252349
