ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	173.733902	0	2.95609045	193.0440826	18.56049728	2.459936857	0.300447315	0	0	0.344447523	72.15520477	0	0	2.624859095	0	0.112025172	5.29422617	0.393040985	6.3799119	0.318524182	0	0	3.328878403	1.629373431	203.0601196	5.190856934	4.062525272	0	0	0.673212886	24.34210777	12.05002975	122.5052109	5.454305172	0	55.60718155	0.265873998
pas2	169.8383713	0.378971308	3.065405488	215.5736237	25.22380924	2.796990037	0.561830074	0	0	0	77.79304886	0	0	2.454755664	0	0	12.13921785	0	6.994748354	0	0	0	4.831869602	0.93130818	174.1620636	4.792416334	4.179785252	0	1.157275558	0.120850794	22.52841187	31.85550117	137.4388657	6.061996698	0	55.62611961	2.18731904
pas3	163.61586	0.789503515	2.736293316	206.4076996	20.99971581	0.993949652	0.20972918	0	0.523507476	0.368135601	50.60706329	0	0	2.302057266	0	0	1.989897013	0	6.035520077	0.313404858	0	0	0.57207197	2.728386879	112.5716019	5.561476707	7.778315544	0	0	0.290549338	42.07727432	27.19433594	267.5530396	11.45283318	0	21.19586372	0
pas4	128.2943726	0	1.978101611	164.9594574	13.00589514	1.646511912	0	0	0	0	51.05405807	0	0	2.849837661	0	0	2.154199958	0	4.987448931	0.529609054	0	0	3.030950546	4.009523392	142.232132	3.668469667	8.380549431	0	0.47109215	0.590525866	32.05264664	17.18336582	105.7949066	5.77137661	0	54.32720947	0
pas5	108.2401657	0	1.57765466	92.20663452	13.17734718	1.207853436	0	0	0	0	27.4397049	0	0	2.802508235	0	2.024834633	3.383179545	0	2.473651409	1.201762259	0	0.832924157	4.571115732	5.040292501	132.8542862	5.005690575	5.029314756	0.740227968	0.191567764	4.238052368	36.7783165	24.73458862	91.71034241	5.757411242	0	28.72092819	0.160996638
pas6	189.4708862	0.047972299	1.380286098	85.998909	11.40135479	1.95041275	0	0	0	0	82.95288086	0	0	2.942352295	0	0	8.520223618	0	2.535140038	0	0	0.150422379	5.599918842	1.865941286	188.8644104	4.76529789	5.407315254	0	1.599727631	0	37.86483765	29.94621849	258.4179688	10.56251049	0	47.71175385	1.32418704
pas7	158.7494049	0	2.782445431	178.6700745	10.38790417	1.730885744	0	0	0	1.862321138	60.96953201	0	0	1.975190759	0	1.223539233	4.241692543	0	5.893903255	0.196925491	0	0	3.221440315	2.8539958	150.3899536	8.142305374	3.544392824	0	0.209704503	0.836550534	26.29429245	24.85929489	56.3260498	4.265136719	0	22.83694839	0
pas8	137.144577	0	0.747701943	160.224884	14.16156864	0	0	0	0	0	90.84827423	0	0	0	0	0	3.938700676	0	4.609005451	0	0	0	0	0	165.3348999	3.957221508	1.196916938	0	0	0	16.75993156	11.69668579	150.2489624	6.138406277	0	10.96373463	0
pas9	189.9906006	2.432205915	2.40994215	277.3503113	15.53163815	0.319584638	0	0	0	0	116.2139435	0	0	0.472943336	0	0	8.291295052	0.006119403	10.5790844	0	0	0	0	0	107.1015472	8.178839684	11.14304638	0	0	0	34.35922623	12.63056278	159.6264801	7.045046806	0	42.72992706	0
pas10	138.5868149	0	2.463698626	245.644455	7.107272148	1.208672464	0	0	0	0	71.02215195	0.189216964	0	1.596891403	0	0	7.42589426	0	9.679415703	0	0	0.464616776	0.681955725	0.516126364	98.53276825	4.588259697	5.850802183	0	0.749596447	0.049461288	28.9935236	25.62297726	132.3167114	7.126639366	0	35.2061615	0
pas11	146.4350739	0	4.245505333	345.0617676	11.30781555	2.953603506	0.569684207	0	0.113403589	0.461126059	56.46090317	0.487244725	0	3.885192394	0	0.362492025	4.559431553	0.007664866	10.98732662	0.281548262	0	1.464186072	3.296121359	1.462846518	138.9625854	4.011800289	4.60248661	0.026838819	2.119852781	0.517984867	23.58961105	16.69190788	148.6607056	6.657684326	0	42.93100739	0
pas12	80.52418518	0	7.48776865	105.7132645	8.852646828	5.589576721	0	0	1.789469004	0	23.88591003	12.63566685	0	11.61736298	0	0	7.208459377	3.066669226	4.303280354	0	10.12854767	33.76066208	9.440012932	3.16993618	30.15537453	5.038510799	3.585919857	0.206881717	12.26915264	2.269937754	16.40197563	267.0660095	119.0375748	13.11578083	17.20695305	139.4977417	4.675017834
pas13	140.1085205	1.558871031	4.004157066	214.8087463	18.92376328	2.305728912	0.747110009	0	0.291521013	0	45.14258957	1.014384031	0	2.36371994	0	0	9.676847458	0.438643008	6.265049934	0	0	0.148229003	4.868604183	0.112063996	68.78586578	3.086208105	6.572882175	0	1.536615014	0.012105	18.22285461	42.53926849	127.5998917	6.200374126	0	35.44042969	2.261921883
pas14	196.2861633	0	3.748244643	217.6738052	19.72631359	2.042609334	0.225011341	0	0	0.754835188	79.79253769	0	0	2.452502847	0	1.018173695	4.629362822	0.507634133	8.863998413	0	0	0.310201406	1.020248115	1.028880417	180.9045715	6.340032816	3.167955756	0	0	0.411967307	25.80821133	12.83069515	111.9671555	6.101556301	0	51.74762726	0.854600579
pas15	181.3494339	0	2.69991827	307.188858	11.54255104	0.318591237	0	0	0	0	120.6238632	0	0	0	0	0	8.036273003	0	10.30980635	0	0	0	0	2.086831212	86.67482758	6.982405424	4.81317234	0	0	0	32.01004601	8.392214298	109.3943596	4.945707321	0	28.41199398	0
