ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	74.77856445	0	2.861308098	92.09259033	34.51843643	2.70846796	1.247719049	0	0	1.050795555	118.5231247	0	0	2.665667295	0	2.133639574	8.842607498	0.856391549	3.099445105	1.370672703	0	0.146294609	1.1057235	3.549956083	1.170232654	3.002200127	7.548883915	0.547605455	0	0.700297415	0.359586746	5.882522106	3.066460609	0.73245877	0	41.92869949	0.755853593
pas2	64.98699951	0.314428717	2.301697969	44.67686844	18.91020393	2.791167974	0.325321525	0	0	1.033865929	88.42988586	0	0	2.083440304	0	0	17.25917625	0	2.493900537	1.17936039	0	0.116484262	3.865901709	2.585787296	0	2.523288727	3.018103123	0	1.387546897	1.152312636	0.177331358	11.97020912	3.06453228	1.721563578	0	50.05864334	1.875177383
pas3	83.98095703	0.684286416	6.67955637	106.3719482	17.27927971	1.795791388	7.212522507	0	0.821022749	0	88.64559937	0	0	3.810359478	0	1.762015462	5.014519215	0.150122046	5.228085995	0.931881785	0	2.152549505	0.709629893	6.261490822	2.258401394	3.98678565	13.82956314	1.441679955	0.78235662	1.002690196	1.639554381	25.71517563	16.02385902	5.357762814	0.467445076	24.25562859	0.899091005
pas4	60.57756805	0	2.283761024	83.93353271	21.72878456	2.067664623	2.856738091	0	0	2.458619595	73.8948822	0	0	1.907606483	0	4.159964561	3.803637266	0	3.22740221	2.673319101	0	0.134549245	1.701689005	6.815598011	1.580273271	1.740362167	2.321371794	0.418399334	0.698841631	2.597088575	1.264083862	8.314929962	3.886951923	3.664646864	0	42.03059006	0.329007298
pas5	71.49689484	0	1.764360905	21.53384209	10.16100311	1.278780937	0	0.255999058	0	0.506016612	41.37294006	0	0	2.78757453	0	2.769291639	5.732952595	0.623208642	1.460602522	2.959693432	0.240728274	1.477570057	3.536236286	10.22793674	5.539336205	1.227699995	4.926012993	1.358513594	0.62753135	8.520456314	4.201672077	13.81236076	12.66030693	7.733870029	0.022363968	26.49287605	0.394531667
pas6	90.12868881	0.302698702	1.767678916	71.44616699	20.95556927	2.465469599	1.522953093	0	0	0	127.0783424	0.538506299	0	2.035570621	0	1.027963042	12.98076868	0	1.921395838	1.181772411	0	0.74108547	5.762041807	2.712861657	0.397021532	2.901839852	1.34701997	0	2.259293079	0.297742501	0.582143158	14.16484404	3.898122787	1.607707977	0	46.69710541	2.718950391
pas7	100.0583229	0.162503473	4.75702095	171.0689926	11.09782457	2.707719207	4.034698248	0	0	0.919334948	109.2521362	0	0	2.533982635	0	1.708177805	5.759120464	0	6.32370615	1.716810465	0	1.564513028	3.758597851	5.620112896	2.071931362	3.031812787	6.333645105	0.308400676	1.226417124	3.829862237	1.114166021	20.98303795	6.778656483	12.8830204	0	20.41184616	0.602964044
pas8	67.27915192	0	0	86.17858124	15.05053234	0	0	0	0	0	66.41138458	0	0	0	0	0	5.547555923	0	2.883071184	0	0	0	0	0	0.34774676	0	3.18563652	0	0	0	0	4.010532379	3.47490406	0	0	9.551691055	0
pas9	200.9929657	10.68905735	4.980480671	7.686511517	17.26008415	2.252999544	1.903462291	0	0	0	286.2094421	0.38702634	0	2.818434477	0	0	33.42552948	0.689015865	8.359773636	1.048267961	0	0	0.588123143	40.31676102	0	11.11096478	30.14792824	1.77802372	0	1.915362239	0	15.81541061	103.0179443	49.38229752	0.85292989	28.80590057	3.109304428
pas10	67.91307068	0	4.152154922	217.5278473	8.855958939	1.556068778	10.74278069	0	0	0.203053147	93.60708618	0.089578994	0	2.476705551	0	0	10.39321041	0	8.429027557	0.373976439	0	3.085083246	0	1.739195466	2.149522305	3.249219894	6.90694046	0	1.161194921	1.394984961	1.536445618	15.77881336	10.38467979	5.407255173	0	32.24170303	1.323338389
