ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
ID	262.0773621	0.118199781	6.507030964	35.4446106	3.429883003	3.831593037	0	0	0	1.656261086	25.79175186	0.346962482	0	5.557716846	0	10.92555141	5.070530415	0.932950556	1.395334244	0.909253418	3.017995119	1.018355012	2.615164518	6.497985363	204.7181396	10.50902462	755.7910156	26.10019493	0.111231528	6.435616493	5.322833061	12.50536728	411.5139771	13.23235321	0.776745439	37.376091	0.790556133
pas1	110.1262207	3.675133944	6.982874393	39.16220856	2.757057667	1.640877724	4.34313488	0	0	0	16.7840538	5.472958565	1.045789003	3.985871077	0	6.574353218	14.82762623	6.095003605	1.334124804	0	1.610777736	1.957910538	4.943044186	0.424661011	182.7690277	30.71133041	534.5669556	14.09395599	2.603831291	3.927393198	6.370483875	268.9858398	61.571064	7.320556164	5.428838253	107.0867538	2.287106514
pas2	167.237381	2.508535385	11.81578112	149.5775986	8.856358051	2.06955266	0.88553676	0	2.170711398	0.553887635	36.81266022	0.116849501	0	3.501432657	0	130.2507782	2.104075909	0.900910795	7.549427748	2.687573075	0.603053242	2.376037836	0.755290806	6.910975695	179.8916473	18.46062088	1059.962341	34.36639977	1.445627511	5.666056395	7.989715576	26.9204855	158.2639542	10.59394741	2.221080899	19.83966255	0
pas3	91.14800262	0	4.545131683	35.82560539	7.82693696	1.821574032	0	0	0	0	23.52120781	0	0	5.250486612	0	30.97658253	6.973184824	1.533466756	5.767926693	3.071714401	0.058322869	0	2.3843292	10.02762508	193.4358063	24.7723217	412.5846405	17.48196888	1.345330894	2.353172123	6.959606171	7.922646523	27.21311331	1.922717154	0	46.34942627	1.232750058
pas4	130.1511612	0	4.513675928	15.23176193	5.488420248	1.745969057	0	1.64699769	0	0.404209718	34.74136162	0.09328337	0	4.990873814	0	28.6974678	4.400346994	1.063325107	1.919984877	3.472689509	1.161836803	3.140378237	3.084511757	10.65477896	216.2893448	13.23413515	691.4084778	26.002141	2.820106745	10.23172045	9.441306114	27.48261929	76.75755692	7.549199104	1.758944273	27.92080975	0.186587855
pas5	67.91133118	0.529488385	2.106942892	8.774277925	0.676223099	0.388424367	1.654835783	0	0	0.175475806	67.12595749	0	0.155733943	5.436269045	0.805753142	3.219237089	14.79124928	1.331983626	0.461364448	0	2.56814909	2.652248621	7.618041277	0.512201548	241.2196884	19.57737732	406.3373184	15.18501759	5.450337887	4.742120266	3.392818928	10.75971842	54.9510498	5.426563025	0	33.07995319	0
pas6	106.4917526	2.676523209	8.291090012	67.57581329	5.683213711	5.111789703	0	0.323613554	0.121822499	0	54.94255829	0.228171796	0	4.119724751	0.082369268	25.7551899	1.310512066	0	7.844902992	3.507400513	1.726533771	0.039637104	4.178771019	7.027446747	187.1151428	21.06024361	579.8651123	15.97222614	0.595758975	5.337510109	11.43096352	20.47495651	19.28472137	4.37725544	1.321657419	6.591902733	3.399775505
pas7	45.27983475	0	2.344984055	3.327809334	4.799455643	0	0	0	0	0	236.3513184	0.363040924	0	0	2.237159491	0	0	0	0	0	0	0	3.965709209	0	51.79708099	7.626556396	177.1699066	7.732735634	2.245718479	8.594363213	0	0	3.126949072	0	0	23.19067383	1.485753059
pas8	190.7835388	11.2713728	4.921821117	66.80319977	3.563344002	3.139714479	0	0	0	0	183.0107422	0.206464678	0	1.207355261	0	15.6291523	15.1214056	0	7.376403809	0.704146981	2.857228041	0	0	3.152158737	118.6051254	27.80143929	1454.727295	48.42209244	1.240423322	4.191750526	1.559442043	10.39322662	19.87693977	6.78101635	0.309783489	24.40782928	0.923382223
pas9	69.37036228	0	3.417142868	487.8827744	10.64138946	3.364781141	1.91476357	0	0.852306843	4.418115139	425.3636322	7.916693687	0	0.221455634	0.623251081	0	1.696846724	0	28.27362943	4.362655163	1.121622562	4.527916908	0.109407373	0	177.6964493	16.4738183	629.5208435	23.95142651	1.910844564	2.773358762	5.858729482	26.90705872	171.482964	6.543587685	5.0467453	28.37322617	0.492847681
pas10	37.42001343	0	2.988465786	133.7425995	2.256299019	0	0	0.596440256	0.672990322	3.026622772	574.3810425	1.041074753	0	6.119440556	7.636465073	240.4447327	12.61063385	2.379584789	19.39095116	0.294965595	0.393584013	0	0.54087007	1.332282662	63.30109024	12.35711765	401.7355957	9.397733688	0	2.262179852	7.585371971	24.61520767	3.587530136	6.331765175	19.04349899	15.74023151	2.387473583
pas11	73.90385437	0	22.56808853	118.4142151	5.545171261	8.098469734	0.462717712	0.781940997	2.842047691	0	45.31987381	14.36794281	0	15.21473503	0	2.44767189	5.355949402	5.536690712	7.874804497	0	17.31928253	45.66104507	8.838089943	5.227770805	40.25357056	11.86893654	494.4093933	18.47918892	14.35784245	5.160055161	7.047992229	441.5868225	58.64976883	14.29542255	19.67981339	139.4101563	5.233767509
