ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	8.121373653	37.26336098	8.77234745	3.346920133	1.625620127	2.559532642	1.104174167	0	1.812089384	0	2.022148073	94.21635437	0	7.888592958	0	0	12.23223543	5.816920757	5.861407995	0	2.701479197	1.440641165	2.606125474	4.57062459	2.377811909	1.173981488	1.44532609	0.544369757	0	1.429831088	5.394622803	4.031509876	19.61185074	3.426743984	0	68.70579147	0.120608762
pas2	4.914223671	172.8605957	7.628568172	4.619792461	0.488699913	8.821540833	2.944985867	0	4.857098579	0	4.158801556	311.3748169	1.070092916	13.03717899	0	0	2.527039766	13.9794817	6.893064976	1.189165235	0.289223194	1.147856593	12.84671688	9.233750343	1.779418349	5.706442356	0.4003281	0	5.729235649	2.212049484	1.118599057	8.021157265	3.260320425	3.743817091	0.156248346	94.97743988	2.848247528
pas3	5.778105259	86.50518799	7.018540382	15.14075279	2.84211731	4.460849762	2.328225374	0	24.0014801	0.275463492	12.42178631	265.3110046	0.414041966	8.602668762	0	0.033593297	2.724666595	7.70222187	7.837751865	1.997575283	1.375823021	2.398116589	24.78686714	22.67272377	7.222477913	103.7088013	8.522012711	2.394934177	6.006595612	0.822604597	4.867063999	4.696362972	16.85688019	7.766687393	0.876642644	122.4077759	0.162405595
pas4	0	211.1845398	0	3.398444176	0	1.747922897	0	0	5.335724831	2.061846018	40.6770401	1225.001099	0.038257472	9.008759499	0	0	1.73025167	9.613729477	4.984983444	0	0	0.062618136	20.45008659	0	0	0	0	0	1.276920557	0	4.248746872	13.77448273	4.329223633	2.251562119	0	59.8470459	0
pas5	10.34178066	0	24.01683617	6.693015575	0	0.230922326	0	5.463467121	1.305204391	1.51094079	14.96685886	96.63399506	0	14.64484692	0	14.1500082	504.682373	7.850725651	12.56374645	6.105192661	0.933558226	4.219948292	0	17.94362068	12.69420338	20.66428375	1.892422676	0	3.274647713	14.18867588	1.278342485	23.20825005	19.25699043	4.94381237	0	25.1314621	0
pas6	0.731138527	25.30244446	14.92882156	0	8.00975132	17.49055862	8.525959969	0.34499833	6.838643074	0	11.48536777	100.7814636	7.847945213	31.45124054	1.552219987	0	3.927557707	0.10821636	0	3.287434578	1.466547132	6.67795229	20.32159805	3.471969843	0	8.000115395	0	0	9.201584816	0	3.116420507	36.18293762	5.887548923	2.760228634	0	4.333895206	1.318277359
pas7	2.494034529	211.9020233	3.903052092	4.203460693	2.903905869	3.921894312	2.035372972	0.324822813	24.68934822	0.609222814	37.99364662	309.7125893	0.457701892	0.714054048	0	2.407317877	446.2422419	11.87897635	8.062514544	1.881271482	0.142045617	1.302769065	8.604094863	0.443918899	2.387923479	4.301813245	0	0.024047332	0.310255498	0.411169231	0	18.71901417	19.74595261	3.999622703	0.529331744	45.52063477	1.969360948
pas8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas9	1.383055806	164.1916809	6.345317841	0.480929941	0	4.945154667	1.318482757	0	5.543699265	0	3.749947071	165.1303558	0	9.238461494	0	0	2.267674446	24.91169357	11.43182755	0.089141868	5.180974483	1.886802912	23.06170082	8.955644608	0	11.7465229	0	0	3.989207029	0	1.426739097	14.151021	9.883155823	6.276537895	0.137450367	244.1284637	3.083172321
pas10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas12	5.370690346	44.19073486	13.40555811	1.956910312	1.526527107	8.219336987	0	0.954168558	5.581640959	0	2.181289434	117.2536659	0	16.69374466	0	0	4.090176344	11.46119213	4.947673082	0	62.94253922	61.53915215	11.47586441	7.636236429	3.990494967	34.90528297	1.981929183	1.575853407	20.01971817	4.158784866	6.680587769	311.2272034	26.31573963	11.10630274	29.61991501	231.4652176	4.476004839
pas13	0.984729499	212.8489456	2.466612935	0.473111004	0.162896499	2.812484503	0.774134517	0	8.358189106	0	13.44219494	373.0589752	0.752895504	6.09145999	0	0	0.435801506	6.205323935	1.433143497	0	1.013361514	0.485116497	11.26139832	1.701106489	0	0.970547497	0	0	1.500930488	0	0.086800002	4.864092112	2.009450555	1.869443953	0	81.87960434	0.478801996
pas14	2.2615906	121.2653656	5.685558796	1.741282642	0.269482151	9.66570425	1.523112178	0	2.906212807	0	13.42470741	150.968689	0.468003735	11.68213606	0	0.448754579	85.44565201	18.64319134	10.75446749	0.876954824	4.166866064	10.21709061	2.537469268	4.668107748	0.101590235	119.6838303	1.955915511	0.086870033	0	0.257987909	1.736560702	15.25236607	14.33141994	5.976959705	1.352224231	285.2236328	2.85945487
pas15	15.88155794	8.701022863	2.762510061	3.032838464	0.103511475	1.869756699	0	0	1.12565726	1.195808291	33.16893387	112.6851578	0	6.047759533	0.155388147	1.959549069	76.95109367	5.921991348	9.069544077	0	0	0	0.180224806	6.53601408	15.06421995	15.90351963	2.590702057	0.051740512	1.128623426	0.651093602	0	6.118941307	3.727663636	0.111027636	0	34.11583805	0.240396112
pas16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas17	12.07310581	77.16152954	7.245405674	8.486158371	0	5.149554729	5.336518764	3.892886162	1.724490523	2.019596577	18.5193367	150.1829071	1.616102576	14.32234859	0.361625969	0	2.978792429	25.36251259	9.29391098	4.085019588	0.866236031	0	1.415627956	9.34106636	3.748734713	13.32921219	5.80668354	0	4.721316814	3.021154165	1.745810747	5.202188969	5.810732365	5.854438305	0	188.8865356	0
