ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	16.33848739	21.33074215	221.9589651	40.14436293	23.4315486	18.33886671	21.58293247	16.01717308	17.37209356	18.80647103	29.4787261	136.5913258	19.08663645	76.91814899	17.60152757	17.63621107	34.77495575	30.55808902	25.0302062	21.25413123	21.36283302	20.31073844	17.18548104	16.41892922	35.43084717	16.9706105	16.96959114	15.03471148	16.30948728	21.54240024	14.03086364	22.5270319	25.95479667	16.01767671	31.67115998	59.79470873	5.001926005
pas2	14.70797475	2284.365819	31.58657915	9.442506549	4.753067061	17.06286859	6.92196963	4.143978141	59.52575191	3.299015944	12.25775091	3108.818912	7.944795779	30.94064115	4.000630473	3.6400521	12.02682867	61.232584	7.41863744	4.54174137	7.672107476	7.60822929	15.51969252	10.07773568	3.577586352	17.91679292	4.137513468	2.647536056	8.536940385	13.31356018	3.408604974	13.08866694	4.180968306	8.226737569	2.777684363	289.8321971	7.747057172
pas3	6.44852994	530.8801253	45.13157905	20.58746374	7.945289016	12.4048801	16.17249593	1.856717841	921.0946578	2.637864901	23.30796958	936.5683209	3.042069473	23.56315762	1.615848573	2.09149276	1.762661935	34.38624561	7.883644163	2.946607751	8.940656881	10.40254169	39.67177471	35.91877756	5.766897782	430.8003104	10.77427797	3.071356083	7.799798335	4.672644235	4.665491593	35.95301786	25.42438299	7.509650917	1.500425757	336.347685	3.081009146
pas4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas5	12.27357721	0.125528947	176.2498298	7.584053278	1.623927116	3.399813853	0	1.685892522	0	0.45092082	5.583840787	56.21156693	0	10.72564304	0	5.120399415	919.8195801	19.90877867	1.435874343	7.448420525	2.374821216	4.380286455	3.08775527	8.498718023	3.489388943	13.28477669	6.62686348	2.548027754	7.326351404	6.060371876	3.251026392	75.45270658	24.33842468	16.16879082	0	309.0520487	0.674705386
pas6	15.93049908	20.02014732	15.93552208	78.4922986	33.54203033	2.098153234	3.670695543	0.363134831	0.80989629	0.20961386	44.23088264	68.15979576	0	68.9335413	0.076320983	14.33129025	12.22928238	0	102.3390017	1.535055995	1.071356148	4.55960083	4.523239613	7.100603878	91.13999915	0.538035154	5.82399857	6.903586254	102.6221414	8.036169529	3.169062078	14.85031128	10.57080841	14.46748447	50.74638591	14.10761642	28.18999767
pas7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas9	4.567380304	408.0697419	74.41628433	3.475439561	3.646975692	8.429050155	4.68738248	2.42739928	49.64953206	1.124856036	7.861433613	348.722452	3.887492134	29.41672867	70.75353893	2.080923655	6.781541785	33.7785705	7.600146032	3.295985188	13.26091157	5.14406732	20.3649426	10.67636823	1.616454924	34.14353379	3.430720937	2.271408864	6.702493392	4.625476066	3.341732873	33.97783222	15.98814469	7.81251156	2.805839633	236.9074883	5.509434481
pas10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
