ID	CD45	EpCAM	casp3	CD45RA	CD69	PgR	CD56	TCRab	HER2	CD25	CD44	PanKer	TCRgd	pSTAT1	TIGIT	CD27	VIM	Ecad	PDL12	CD28	KI67	FoxP3	ER	CD45RO	CD19	CD24	CD38	CD8	EGFR	CD3	CD20	pS6	HLADR	CD4	PD1	Hist1763	CD16
pas1	14.8826251	7.743752062	223.5446806	39.63323021	15.88244724	7.087649345	12.11002541	0.635002673	0.574875593	0.449528068	26.46280956	122.3135872	0.971719563	59.76996994	1.652514219	0.840850174	27.27713394	16.61634207	18.01984692	8.20693171	12.02781677	9.161336184	3.407197893	2.786703348	33.80035281	2.357429266	2.036188126	1.077479601	1.433503985	13.83886313	2.251161337	15.23277473	15.23957968	3.805607677	31.38976145	43.06112766	1.438145757
pas2	12.95016289	957.0081482	11.88609695	6.873239279	2.301799893	14.28708982	3.907415748	1.373110116	42.73479462	0.442109779	8.95890379	2875.821899	4.966672659	28.13606644	1.427575469	1.032977164	0.251222387	47.98221016	4.660213232	1.982073903	0.74545458	6.375878334	10.71814585	7.507354975	1.145498991	9.361006737	2.488547802	0.190241359	6.317573547	6.233502388	1.381669104	10.24820709	1.919192255	6.173804522	0.445530817	247.4253464	6.631770611
pas3	4.665967941	456.8973236	25.44468594	16.02775383	6.61349082	11.36893988	8.613563061	0.706116259	705.1699829	1.381939292	15.3941946	490.1435089	1.597703576	17.06172085	0.583919972	0.462675959	0.236805744	27.57217026	3.96214819	2.08886826	3.219187617	7.942274094	26.04369831	30.01603222	4.350506544	353.6770935	6.394748688	1.928737819	5.952343702	1.50343281	3.315101743	9.292855263	14.1318574	5.821740866	0.261528075	238.1119156	2.174214482
pas4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas5	12.27357721	0.125528947	176.2498298	7.584053278	1.623927116	3.399813853	0	1.685892522	0	0.45092082	5.583840787	56.21156693	0	10.72564304	0	5.120399415	919.8195801	19.90877867	1.435874343	7.448420525	2.374821216	4.380286455	3.08775527	8.498718023	3.489388943	13.28477669	6.62686348	2.548027754	7.326351404	6.060371876	3.251026392	75.45270658	24.33842468	16.16879082	0	309.0520487	0.674705386
pas6	15.93049908	20.02014732	15.93552208	78.4922986	33.54203033	2.098153234	3.670695543	0.363134831	0.80989629	0.20961386	44.23088264	68.15979576	0	68.9335413	0.076320983	14.33129025	12.22928238	0	102.3390017	1.535055995	1.071356148	4.55960083	4.523239613	7.100603878	91.13999915	0.538035154	5.82399857	6.903586254	102.6221414	8.036169529	3.169062078	14.85031128	10.57080841	14.46748447	50.74638591	14.10761642	28.18999767
pas7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas9	0.461013019	313.115448	8.651953697	0	0	5.499049664	1.631384611	0	9.100449562	0	2.891002178	169.9119263	0	7.73932838	0	0	0	28.38652992	2.690179586	0.039964709	2.15207696	0.790016949	15.36597824	6.772873878	0	16.12117386	0	0	2.988850832	0	0	12.87287426	8.098397255	4.302478313	0	177.9354553	2.346318245
pas10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
pas12	7.556676149	488.622818	29.95557404	2.309121251	2.186612248	16.96409988	1.773286641	1.799391091	16.54954338	0.858275086	3.563068151	351.0832977	0.314729497	40.16411591	0	0.174333341	2.03205359	28.82855225	6.424646854	0	49.83262825	68.84627533	9.584415913	6.968728542	8.446154594	303.816925	5.407737017	3.283246636	17.55496407	7.256153822	15.86256742	2046.959778	101.5188713	20.33006191	23.00638866	220.2945099	7.697129965
pas13	0.588769495	253.7663727	7.559064627	0.8922095	1.241945505	5.286520481	2.082543969	0	58.00689125	0	145.6166458	386.937973	0.669900507	7.325722933	0	0	0.089768	14.32389641	0.525173992	0	0.729200482	3.573019028	14.2121067	2.877547026	0	4.929293394	0.169534497	0	3.829816461	0	1.278556049	154.0548935	5.763123035	4.250097513	0.086914498	137.3424377	3.655627489
pas14	0.841107875	185.348587	9.939693451	1.066639602	1.068956554	12.92264032	2.533593535	0	4.972328424	0	58.14201927	192.2838745	0.099181473	17.57355499	0	0	94.03004456	41.45948219	4.123923302	0.940532833	3.303124428	14.64768934	3.65679276	3.455512404	0.390505522	94.11414719	1.035866439	0.128023285	0	0.2890843	1.76850915	41.16227531	12.34466124	7.764687538	1.355789721	278.4326019	5.097814798
pas15	0	87.46929169	7.260401249	0.373606503	0	6.294332504	1.982183099	0	0	0	10.32857895	861.1710815	0	12.59026623	0	0	3.158229828	15.39315224	0.423946351	0	0.851101756	0	3.124659061	2.296900034	1.363221884	9.360991478	0	0.95107305	1.205786824	2.111411572	0	5.33768177	5.772815704	2.670296431	0	62.5594101	3.036451578
pas16	1.987430811	36.42810822	55.30353928	0	33.51922226	12.56979465	7.110251427	1.547188282	13.07131863	1.935960889	2303.552734	140.9898071	6.366697788	20.95649147	1.528841257	0	60.93019867	4.690154076	509.6559143	0	47.63721085	15.63587761	3.52226305	5.298933983	2.758539677	53.96562958	1.524142742	0	19.18913841	1.790553808	6.136901379	419.8627625	2.377704382	3.029166222	2.04219985	81.27485657	0.053661529
pas17	1.805623174	25.21911812	12.30413151	4.07562685	2.466615915	11.52051544	3.374967813	1.591807604	5.35321331	0	241.904541	92.55014038	1.467400551	14.13945103	0.541489184	0.580865026	14.38801956	8.170576096	24.22983551	0.632963181	6.54665184	4.218631744	1.861001134	5.856882095	0.659238935	21.20336533	0	0	10.72138596	0.325056106	0.948942959	22.53406334	4.663101673	2.354834557	0.111121252	49.54308319	2.88501668
pas18	13.63780785	763.3271179	9.983433723	12.00774288	1.710909963	9.164894581	1.085393667	1.542535782	15.56024456	0.174835145	58.41647911	1881.645996	3.461779475	22.87842178	0.213185482	0.972785145	3.263111234	59.99396133	2.994260073	2.177986503	1.029723436	7.074904203	4.450724363	9.35340786	2.59041965	68.08040237	1.927425325	0.678160191	0	7.688473701	1.175912559	9.434119701	12.3474679	10.85073233	0	273.9013367	1.424230874
pas19	42.1666584	0.840140939	11.20378542	63.06397438	7.188511133	12.60139561	1.727469087	0	6.990930557	1.256258011	48.09760094	78.96861839	1.90779686	14.42608595	7.39483428	0	25.34274817	8.401900768	9.115718842	2.067311049	18.34494686	26.54464436	4.34339571	26.93494225	13.96378803	14.69433355	4.960164309	5.418113947	27.69132233	33.78335094	10.22216702	29.46811867	114.7881165	36.8835268	0.449461997	53.53458214	0
pas20	6.691929102	211.374054	7.413106918	5.461021662	2.113148808	5.045747519	0.829883039	0	13.83169651	0	24.37690353	623.5990295	1.001082271	11.95623922	0	0.546983525	0.545167953	23.92075062	1.471638799	1.078620195	0.640184373	3.071571112	1.419167936	4.822061777	0.490167364	36.53251648	2.195901513	0	5.102245808	3.7653476	0.962995112	12.8610096	5.475327969	7.460852861	0.321244344	116.2265091	3.409084082
pas21	19.61548042	2.051175356	17.64770317	16.74996185	14.35330772	16.45510483	5.421693325	2.255397081	2.946728468	0.137273043	31.48555565	400.9848022	1.353079796	12.43823624	1.428535581	5.974975586	2.641134024	6.218268394	10.20730019	2.961425066	1.793587923	9.297942162	5.187314034	13.65896702	49.66757202	0.216392994	1.716542482	3.629089355	0	0.233457193	3.669742107	24.78929901	12.30291843	5.463195801	0.968794048	51.59658051	62.53306961
pas22	3.452903748	19.62919998	27.45161629	9.086458206	5.367805958	18.5291996	7.885185242	1.58220005	12.08226967	0.402769893	682.8388672	104.0759506	2.521231174	17.63142586	1.660135746	0.08144109	35.67416382	7.355037689	54.15834045	2.079071999	16.43603897	12.22329044	4.065404892	9.230906487	0.248667493	30.13734818	0.880552292	0.524930477	21.12745667	0.493471235	2.108143091	95.57356262	7.762754917	4.185335636	1.27944088	70.54769897	1.244992375
pas23	6.165246248	68.39796829	5.603904605	5.989993811	2.998047709	4.65885067	2.460830808	0	19.51856041	0.397677556	120.9744415	685.9992981	1.89324069	23.98828316	0.110649191	0.016252128	3.199609876	4.58362937	1.618477702	0.151108894	0	15.16242313	3.590392113	3.092783213	0.204853058	138.2890167	3.070078373	1.175404191	0	2.187751412	1.431067646	40.42473412	7.144613981	6.144156694	0.407328516	134.3148727	1.500525177
pas24	12.38700485	291.6572113	4.957271963	29.79843903	1.698198706	7.867673635	5.40194869	2.436836839	12.09006119	0	38.33883095	1528.642761	5.995270491	37.40275955	0.929686792	2.221623659	0	24.93682051	3.859851241	1.873394847	0	1.443997711	13.93954563	4.085294127	9.166898489	15.32588005	0	0	0.830876276	3.001767397	0.197900504	6.812951565	2.340102196	0	0	36.97639513	3.194321275
